name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Basic Darkness Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,7,Common,,
Basic Darkness Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,15,Common,,
Basic Fighting Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,6,Common,,
Basic Fighting Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,14,Common,,
Basic Fire Energy,Energy,Basic,,,,,,,,0,OBF,Obsidian Flames,230,Hyper Rare,G,
Basic Fire Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,2,Common,,
Basic Fire Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,10,Common,,
Basic Grass Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,1,Common,,
Basic Grass Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,9,Common,,
Basic Lightning Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,4,Common,,
Basic Lightning Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,12,Common,,
Basic Metal Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,8,Common,,
Basic Metal Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,16,Common,,
Basic Psychic Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,5,Common,,
Basic Psychic Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,13,Common,,
Basic Water Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,3,Common,,
Basic Water Energy,Energy,Basic,,,,,,,,0,SVE,Scarlet & Violet Energies,11,Common,,
Boomerang Energy,Energy,Special,,,,,,,,0,TWM,Twilight Masquerade,166,Uncommon,H,"As long as this card is attached to a Pokémon, it provides Colorless Energy.    If this card is discarded by an effect of an attack used by the Pokémon this card is attached to, attach this card from your discard pile to that Pokémon after attacking."
