name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Abomasnow,Pokémon,Stage 1,150,Water,Snover,,"[Colorless,Colorless,Colorless] Lunge Out 90 | [Water,Water,Water,Colorless] Frozen Wood 120+ — If this Pokémon has 2 or more Grass Energy attached, this attack does 120 more damage.",Metal ×2,,4,DRI,Destined Rivals,60,Uncommon,I,
Abomasnow,Pokémon,Stage 1,150,Grass,Snover,[Ability] Freezing Disaster: Pokémon (both yours and your opponent's) can't be healed.,"[Grass,Grass,Colorless] Magnum Punch 110",Fire ×2,,3,PAL,Paldea Evolved,11,Rare,G,
Abomasnow,Pokémon,Stage 1,150,Grass,Snover,[Ability] Freezing Disaster: Pokémon (both yours and your opponent's) can't be healed.,"[Grass,Grass,Colorless] Magnum Punch 110",Fire ×2,,3,PAF,Paldean Fates,101,Shiny Rare,G,
Abra,Pokémon,Basic,50,Psychic,,,[Psychic] Teleportation Attack 10 — Switch this Pokémon with 1 of your Benched Pokémon.,Darkness ×2,Fighting -30,1,MEG,Mega Evolution,54,Common,I,
Abra,Pokémon,Basic,50,Psychic,,,[Psychic] Psyshot 20,Darkness ×2,Fighting -30,1,MEW,151,63,Common,G,
Abra,Pokémon,Basic,50,Psychic,,,[Psychic] Psyshot 20,Darkness ×2,Fighting -30,1,PAF,Paldean Fates,148,Shiny Rare,G,
Abra,Pokémon,Basic,40,Psychic,,"[Ability] Teleporter: Once during your turn, if this Pokémon is in the Active Spot, you may shuffle it and all attached cards into your deck.",[Psychic] Beam 10,Darkness ×2,Fighting -30,1,TWM,Twilight Masquerade,80,Common,H,
Absol,Pokémon,Basic,110,Darkness,,,"[Colorless] Allure — Draw 2 cards. | [Darkness,Colorless] Dark Cutter 60",Grass ×2,,1,PFL,Phantasmal Flames,63,Common,I,
Absol,Pokémon,Basic,100,Darkness,,,"[Colorless] Drawareness — You may discard any number of cards from your hand until you have 4 or fewer. Draw cards until you have 5 cards in your hand. | [Colorless,Colorless] Enhanced Blade 20+ — If this Pokémon has a Pokémon Tool attached, this attack does 60 more damage.",Grass ×2,,1,PAR,Paradox Rift,113,Uncommon,G,
Absol,Pokémon,Basic,110,Darkness,,,"[Colorless] Darkfall 20+ — If you have at least 3 Darkness Energy in play, this attack does 50 more damage.",Grass ×2,,1,SFA,Shrouded Fable,30,Common,H,
Absol ex,Pokémon,"Basic,ex",210,Darkness,,,"[Darkness] Future Sight — Look at the top 3 cards of either player's deck and put them back in any order. | [Darkness,Darkness,Colorless] Cursed Slug 100+ — If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.",Grass ×2,,1,OBF,Obsidian Flames,135,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Absol ex,Pokémon,"Basic,ex",210,Darkness,,,"[Darkness] Future Sight — Look at the top 3 cards of either player's deck and put them back in any order. | [Darkness,Darkness,Colorless] Cursed Slug 100+ — If your opponent has 3 or fewer cards in their hand, this attack does 120 more damage.",Grass ×2,,1,OBF,Obsidian Flames,214,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Accelgor,Pokémon,Stage 1,100,Grass,Shelmet,,"[Grass] Acid Spray 50 — Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Fire ×2,,1,WHT,White Flare,9,Uncommon,I,
Accelgor,Pokémon,Stage 1,100,Grass,Shelmet,,"[Grass] Acid Spray 50 — Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Fire ×2,,1,WHT,White Flare,94,Illustration Rare,I,
Accelgor,Pokémon,Stage 1,100,Grass,Shelmet,,"[Grass,Colorless] Poisonous Ploy 70 — Your opponent's Active Pokémon is now Confused and Poisoned. Switch this Pokémon with 1 of your Benched Pokémon.",Fire ×2,,1,JTG,Journey Together,13,Uncommon,I,
Aegislash,Pokémon,Stage 2,150,Metal,Doublade,[Ability] Mysterious Shield: Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex and Pokémon V.,"[Metal,Colorless] Hard Bashing 120 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Fire ×2,Grass -30,3,PAR,Paradox Rift,134,Rare,G,
Aegislash,Pokémon,Stage 2,150,Metal,Doublade,[Ability] Mysterious Shield: Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex and Pokémon V.,"[Metal,Colorless] Hard Bashing 120 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Fire ×2,Grass -30,3,PAR,Paradox Rift,210,Illustration Rare,G,
Aegislash,Pokémon,Stage 2,150,Metal,Doublade,[Ability] Mysterious Shield: Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex and Pokémon V.,"[Metal,Colorless] Hard Bashing 120 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Fire ×2,Grass -30,3,PR-SV,Scarlet & Violet Black Star Promos,60,Promo,G,
Aegislash ex,Pokémon,"Stage 2,ex",330,Metal,Doublade,,"[Metal] Peerless Edge 70× — This attack does 70 damage for each Prize card you have taken. | [Metal,Metal] Double-Edged Slash 220 — This Pokémon also does 30 damage to itself.",Fire ×2,Grass -30,3,PAR,Paradox Rift,135,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Aegislash ex,Pokémon,"Stage 2,ex",330,Metal,Doublade,,"[Metal] Peerless Edge 70× — This attack does 70 damage for each Prize card you have taken. | [Metal,Metal] Double-Edged Slash 220 — This Pokémon also does 30 damage to itself.",Fire ×2,Grass -30,3,PAR,Paradox Rift,230,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Aerodactyl,Pokémon,Stage 1,130,Colorless,Antique Old Amber,,"[Colorless] Glide 30 | [Colorless,Colorless] Devolution Ray 100 — If your opponent's Active Pokémon is an evolved Pokémon, devolve it by putting the highest Stage Evolution card on it into your opponent's hand.",Lightning ×2,Fighting -30,0,MEW,151,142,Rare,G,
