name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Cacnea,Pokémon,Basic,60,Grass,,"[Ability] Counterattack Quills: If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.","[Colorless,Colorless] Light Punch 30",Fire ×2,,1,SVI,Scarlet & Violet,5,Common,G,
Cacturne,Pokémon,Stage 1,130,Grass,Cacnea,"[Ability] Counterattack Quills: If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.","[Colorless,Colorless,Colorless] Spike Shot 110",Fire ×2,,2,SVI,Scarlet & Violet,6,Uncommon,G,
Camerupt,Pokémon,Stage 1,140,Fire,Numel,,"[Fire] Roasting Burn 110 — If your opponent's Active Pokémon isn't Burned, this attack does nothing. | [Fire,Colorless,Colorless,Colorless] Power Stomp 170 — Discard 2 Energy from this Pokémon.",Water ×2,,3,ASC,Ascended Heroes,28,Uncommon,I,
Camerupt,Pokémon,Stage 1,140,Fire,Numel,,"[Fire,Colorless] Eruption 50+ — Discard the top card of each player's deck. This attack does 100 more damage for each Energy card discarded in this way. | [Fire,Fire,Colorless] Steaming Stomp 120",Water ×2,,3,OBF,Obsidian Flames,32,Uncommon,G,
Camerupt,Pokémon,Stage 1,130,Fire,Numel,,"[Fire] Super Singe — Your opponent's Active Pokémon is now Burned. | [Fire,Fire,Colorless] Cinder Cannon 120+ — You may discard a Fighting Energy from this Pokémon. If you do, this attack does 120 more damage.",Water ×2,,3,PAF,Paldean Fates,12,Uncommon,G,
Capsakid,Pokémon,Basic,60,Grass,,,"[Colorless] Slightly Spicy 10 — Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Fire ×2,,1,SVI,Scarlet & Violet,27,Common,G,
Capsakid,Pokémon,Basic,70,Grass,,,"[Colorless] Increasing Spice — Search your deck for a Basic Fire Energy card and attach it to this Pokémon. Then, shuffle your deck. | [Grass,Colorless,Colorless] Playful Kick 50",Fire ×2,,1,SVI,Scarlet & Violet,28,Common,G,
Capsakid,Pokémon,Basic,50,Grass,,,[Colorless] Reckless Charge 30 — This Pokémon also does 10 damage to itself.,Fire ×2,,1,OBF,Obsidian Flames,23,Common,G,
Capsakid,Pokémon,Basic,70,Grass,,,"[Colorless,Colorless,Colorless] Double Headbutt 50× — Flip 2 coins. This attack does 50 damage for each heads.",Fire ×2,,2,OBF,Obsidian Flames,24,Common,G,
Capsakid,Pokémon,Basic,70,Grass,,,"[Colorless] Increasing Spice — Search your deck for a Basic Fire Energy card and attach it to this Pokémon. Then, shuffle your deck. | [Grass,Colorless,Colorless] Playful Kick 50",Fire ×2,,1,PAF,Paldean Fates,106,Shiny Rare,G,
Capsakid,Pokémon,Basic,70,Grass,,,"[Colorless,Colorless] Headbutt Bounce 20",Fire ×2,,1,SSP,Surging Sparks,12,Common,H,
Carbink,Pokémon,Basic,90,Fighting,,"[Ability] Double Type: As long as this Pokémon is in play, it is Fighting and Psychic type.","[Fighting,Fighting,Colorless] Counter Jewel 70+ — If your opponent has 2 or fewer Prize cards remaining, this attack does 100 more damage.",Grass ×2,,1,ASC,Ascended Heroes,117,Uncommon,J,
Carbink,Pokémon,Basic,90,Fighting,,"[Ability] Double Type: As long as this Pokémon is in play, it is Fighting and Psychic type.","[Fighting,Fighting,Colorless] Counter Jewel 70+ — If your opponent has 2 or fewer Prize cards remaining, this attack does 100 more damage.",Grass ×2,,1,ASC,Ascended Heroes,242,Illustration Rare,J,
Carkol,Pokémon,Stage 1,110,Fighting,Rolycoly,,"[Fighting] Guard Press 20 — During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance). | [Fighting,Colorless,Colorless] Power Gem 60",Grass ×2,,3,ASC,Ascended Heroes,119,Common,I,
Carkol,Pokémon,Stage 1,110,Fighting,Rolycoly,,"[Fighting] Knock Away 20+ — Flip a coin. If heads, this attack does 40 more damage. | [Fighting,Colorless,Colorless,Colorless] Boulder Crush 80",Grass ×2,,4,TEF,Temporal Forces,94,Common,H,
Carnivine,Pokémon,Basic,110,Grass,,,"[Colorless] Nosh — Heal 40 damage from this Pokémon. | [Grass,Colorless,Colorless] Loom Over 130- — This attack does 10 less damage for each damage counter on this Pokémon.",Fire ×2,,2,SCR,Stellar Crown,7,Common,H,
Carracosta,Pokémon,Stage 2,160,Water,Tirtouga,[Ability] Primal Knowledge: Attacks used by your Pokémon do 30 more damage to your opponent's Active Evolution Pokémon (before applying Weakness and Resistance).,"[Water,Water] Tidal Wave 150",Lightning ×2,,3,SCR,Stellar Crown,38,Rare,H,
Carracosta,Pokémon,Stage 2,180,Water,Tirtouga,[Ability] Mighty Shell: Prevent all damage from and effects of attacks done to this Pokémon by your opponent's Pokémon that have any Special Energy attached.,"[Water,Colorless,Colorless] Big Bite 150 — During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning ×2,,3,BLK,Black Bolt,23,Rare,I,
Carracosta,Pokémon,Stage 2,180,Water,Tirtouga,[Ability] Mighty Shell: Prevent all damage from and effects of attacks done to this Pokémon by your opponent's Pokémon that have any Special Energy attached.,"[Water,Colorless,Colorless] Big Bite 150 — During your opponent's next turn, the Defending Pokémon can't retreat.",Lightning ×2,,3,BLK,Black Bolt,107,Illustration Rare,I,
Carvanha,Pokémon,Basic,70,Darkness,,,[Darkness] Reckless Charge 30 — This Pokémon also does 10 damage to itself.,Grass ×2,,1,PFL,Phantasmal Flames,60,Common,I,
Carvanha,Pokémon,Basic,50,Water,,,[Water] Sharp Fang 20,Lightning ×2,,1,OBF,Obsidian Flames,46,Common,G,
Carvanha,Pokémon,Basic,50,Water,,,"[Colorless,Colorless] Wave Splash 30",Lightning ×2,,1,TEF,Temporal Forces,42,Common,H,
Carvanha,Pokémon,Basic,50,Water,,,[Water] Sharp Fang 20,Lightning ×2,,1,PR-SV,Scarlet & Violet Black Star Promos,93,Promo,G,
Cascoon,Pokémon,Stage 1,90,Grass,Wurmple,,[Grass] Trading Places — Switch this Pokémon with 1 of your Benched Pokémon.,Fire ×2,,3,ASC,Ascended Heroes,14,Common,I,
Castform Sunny Form,Pokémon,Basic,70,Fire,,,"[Fire] Singe — Your opponent's Active Pokémon is now Burned. | [Fire,Colorless] Sunny Assist 50 — Move all Energy from this Pokémon to 1 of your Benched Pokémon.",Water ×2,,0,SSP,Surging Sparks,20,Common,H,
Castform Sunny Form,Pokémon,Basic,70,Fire,,,"[Fire] Singe — Your opponent's Active Pokémon is now Burned. | [Fire,Colorless] Sunny Assist 50 — Move all Energy from this Pokémon to 1 of your Benched Pokémon.",Water ×2,,0,SSP,Surging Sparks,195,Illustration Rare,H,
Caterpie,Pokémon,Basic,50,Grass,,,"[Grass] Leaf Munch 10+ — If your opponent's Active Pokémon is a Grass Pokémon, this attack does 30 more damage.",Fire ×2,,1,MEW,151,10,Common,G,
Caterpie,Pokémon,Basic,50,Grass,,,"[Grass] Leaf Munch 10+ — If your opponent's Active Pokémon is a Grass Pokémon, this attack does 30 more damage.",Fire ×2,,1,MEW,151,172,Illustration Rare,G,
Caterpie,Pokémon,Basic,50,Grass,,,[Grass] Bug Bite 20,Fire ×2,,1,JTG,Journey Together,1,Common,I,
Celebi,Pokémon,Basic,80,Grass,,,"[Grass] Traverse Time — Search your deck for up to 3 in any combination of Grass Pokémon and Stadium cards, reveal them, and put them into your hand. Then, shuffle your deck. | [Grass] Solar Cutter 30",Fire ×2,,1,MEG,Mega Evolution,12,Uncommon,I,
Celebi,Pokémon,Basic,80,Grass,,,[Colorless] Collect — Draw a card. | [Grass] Leaf Step 30,Fire ×2,,1,SCR,Stellar Crown,4,Uncommon,H,
Centiskorch,Pokémon,Stage 1,140,Fire,Sizzlipede,,"[Colorless,Colorless] Coiling Crush 50 — Flip 2 coins. For each heads, discard an Energy from your opponent's Active Pokémon. | [Fire,Fire,Colorless,Colorless] Heat Crawler 140",Water ×2,,3,MEG,Mega Evolution,30,Uncommon,I,
