name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Dachsbun,Pokémon,Stage 1,90,Psychic,Fidough,[Ability] Well-Baked Body: This Pokémon can't be Burned. Prevent all damage done to this Pokémon by attacks from your opponent's Fire Pokémon.,"[Psychic,Colorless,Colorless] Headbutt Bounce 100",Metal ×2,,1,SVI,Scarlet & Violet,99,Uncommon,G,
Dachsbun,Pokémon,Stage 1,90,Psychic,Fidough,[Ability] Well-Baked Body: This Pokémon can't be Burned. Prevent all damage done to this Pokémon by attacks from your opponent's Fire Pokémon.,"[Psychic,Colorless,Colorless] Headbutt Bounce 100",Metal ×2,,1,PAF,Paldean Fates,39,Uncommon,G,
Dachsbun,Pokémon,Stage 1,90,Psychic,Fidough,[Ability] Well-Baked Body: This Pokémon can't be Burned. Prevent all damage done to this Pokémon by attacks from your opponent's Fire Pokémon.,"[Psychic,Colorless,Colorless] Headbutt Bounce 100",Metal ×2,,1,PAF,Paldean Fates,161,Shiny Rare,G,
Dachsbun ex,Pokémon,"Stage 1,ex",250,Psychic,Fidough,"[Ability] Time to Chow Down: When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from each of your Evolution Pokémon. If you healed any damage in this way, discard all Energy from those Pokémon.","[Colorless,Colorless] Wonder Shine 130 — Your opponent's Active Pokémon is now Confused.",Metal ×2,,2,SCR,Stellar Crown,67,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Dachsbun ex,Pokémon,"Stage 1,ex",250,Psychic,Fidough,"[Ability] Time to Chow Down: When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from each of your Evolution Pokémon. If you healed any damage in this way, discard all Energy from those Pokémon.","[Colorless,Colorless] Wonder Shine 130 — Your opponent's Active Pokémon is now Confused.",Metal ×2,,2,SCR,Stellar Crown,160,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Dachsbun ex,Pokémon,"Stage 1,ex",250,Psychic,Fidough,"[Ability] Time to Chow Down: When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from each of your Evolution Pokémon. If you healed any damage in this way, discard all Energy from those Pokémon.","[Colorless,Colorless] Wonder Shine 130 — Your opponent's Active Pokémon is now Confused.",Metal ×2,,2,SCR,Stellar Crown,169,Special Illustration Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Darkrai,Pokémon,Basic,130,Darkness,,,"[Darkness] Dark Slumber 20 — Your opponent's Active Pokémon is now Asleep. | [Darkness,Darkness,Colorless] Night Cyclone 120 — Move all Energy from this Pokémon to your Benched Pokémon in any way you like.",Grass ×2,,2,OBF,Obsidian Flames,136,Rare,G,
Darkrai ex,Pokémon,"Basic,ex",210,Darkness,,,"[Darkness,Colorless] Wind of Darkness 40 | [Darkness,Darkness,Colorless] Night Impact 110",Grass ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,110,Promo,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Darmanitan,Pokémon,Stage 1,150,Fire,Darumaka,,"[Colorless,Colorless,Colorless,Colorless] Blaze Ball 40+ — This attack does 40 more damage for each Fire Energy attached to this Pokémon.",Water ×2,,3,PFL,Phantasmal Flames,16,Uncommon,I,
Darmanitan,Pokémon,Stage 1,140,Fire,Darumaka,,"[Fire,Colorless,Colorless] Damage Counterpunch 60+ — If this Pokémon has any damage counters on it, this attack does 60 more damage. | [Fire,Colorless,Colorless,Colorless] Heat Blast 140",Water ×2,,3,OBF,Obsidian Flames,35,Uncommon,G,
