name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Eelektrik,Pokémon,Stage 1,90,Lightning,Tynamo,"[Ability] Dynamotor: Once during your turn, you may attach a Basic Lightning Energy card from your discard pile to 1 of your Benched Pokémon.","[Lightning,Lightning,Colorless] Electric Ball 50",Fighting ×2,,2,ASC,Ascended Heroes,60,Uncommon,I,
Eelektrik,Pokémon,Stage 1,90,Lightning,Tynamo,,"[Lightning] Volt Wave 20 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Lightning,Colorless,Colorless] Electric Ball 60",Fighting ×2,,2,OBF,Obsidian Flames,68,Common,G,
Eelektrik,Pokémon,Stage 1,90,Lightning,Tynamo,"[Ability] Dynamotor: Once during your turn, you may attach a Basic Lightning Energy card from your discard pile to 1 of your Benched Pokémon.","[Lightning,Lightning,Colorless] Electric Ball 50",Fighting ×2,,2,BLK,Black Bolt,31,Uncommon,I,
Eelektrik,Pokémon,Stage 1,90,Lightning,Tynamo,"[Ability] Dynamotor: Once during your turn, you may attach a Basic Lightning Energy card from your discard pile to 1 of your Benched Pokémon.","[Lightning,Lightning,Colorless] Electric Ball 50",Fighting ×2,,2,BLK,Black Bolt,114,Illustration Rare,I,
Eelektross,Pokémon,Stage 2,160,Lightning,Eelektrik,,"[Lightning] Suction Shock — Switch in 1 of your opponent's Benched Pokémon to the Active Spot. If you do, this attack does 60 damage to the new Active Pokémon, and then flip a coin. If heads, that Pokémon is now Paralyzed. | [Lightning,Colorless,Colorless] Head Bolt 130",Fighting ×2,,3,OBF,Obsidian Flames,69,Uncommon,G,
Eelektross,Pokémon,Stage 2,160,Lightning,Eelektrik,,"[Lightning] Thunder Fang 60 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Lightning,Colorless] Buzz Flip 100× — Flip 4 coins. This attack does 100 damage for each heads.",Fighting ×2,,3,BLK,Black Bolt,32,Uncommon,I,
Eelektross,Pokémon,Stage 2,160,Lightning,Eelektrik,,"[Lightning] Thunder Fang 60 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Lightning,Colorless] Buzz Flip 100× — Flip 4 coins. This attack does 100 damage for each heads.",Fighting ×2,,3,BLK,Black Bolt,115,Illustration Rare,I,
Eevee,Pokémon,Basic,70,Colorless,,,"[Colorless] Cheer Up — Attach an Energy card from your hand to 1 of your Pokémon. | [Colorless,Colorless] Kick 20",Fighting ×2,,1,OBF,Obsidian Flames,166,Common,G,
Eevee,Pokémon,Basic,70,Colorless,,,"[Colorless] Colorful Friends — Search your deck for up to 3 Pokémon of different types, reveal them, and put them into your hand. Then, shuffle your deck. | [Colorless] Skip 10",Fighting ×2,,1,MEW,151,133,Common,G,
Eevee,Pokémon,Basic,50,Colorless,,,"[Colorless] Ascension — Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck. | [Colorless,Colorless,Colorless] Quick Attack 20+ — Flip a coin. If heads, this attack does 20 more damage.",Fighting ×2,,1,TWM,Twilight Masquerade,135,Common,H,
Eevee,Pokémon,Basic,50,Colorless,,,"[Colorless] Ascension — Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck. | [Colorless,Colorless,Colorless] Quick Attack 20+ — Flip a coin. If heads, this attack does 20 more damage.",Fighting ×2,,1,TWM,Twilight Masquerade,188,Illustration Rare,H,
Eevee,Pokémon,Basic,70,Colorless,,,"[Colorless] Colorful Catch — Search your deck for up to 3 Basic Energy cards of different types, reveal them, and put them into your hand. Then, shuffle your deck. | [Colorless,Colorless] Headbutt 20",Fighting ×2,,1,SFA,Shrouded Fable,50,Common,H,
Eevee,Pokémon,Basic,60,Colorless,,,"[Colorless] Call for Family — Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. | [Colorless,Colorless] Gnaw 20",Fighting ×2,,1,SCR,Stellar Crown,113,Common,H,
Eevee,Pokémon,Basic,50,Colorless,,"[Ability] Boosted Evolution: As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it.","[Colorless,Colorless] Reckless Charge 30 — This Pokémon also does 10 damage to itself.",Fighting ×2,,1,SSP,Surging Sparks,143,Common,H,
Eevee,Pokémon,Basic,50,Colorless,,"[Ability] Boosted Evolution: As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it.","[Colorless,Colorless] Reckless Charge 30 — This Pokémon also does 10 damage to itself.",Fighting ×2,,1,PRE,Prismatic Evolutions,74,Common,H,
