name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Falinks,Pokémon,Basic,110,Fighting,,,"[Colorless] Headbutt 20 | [Fighting,Colorless,Colorless] Reckless Charge Together 70+ — If Falinks is on your Bench, this attack does 90 more damage.",Psychic ×2,,2,PAL,Paldea Evolved,119,Common,G,
Falinks,Pokémon,Basic,110,Fighting,,,"[Colorless] Form Ranks — Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. | [Colorless,Colorless] All-Out Attack 30+ — If this Pokémon used Form Ranks during your last turn, this attack does 90 more damage.",Psychic ×2,,2,SCR,Stellar Crown,88,Common,H,
Fan Rotom,Pokémon,Basic,70,Colorless,,"[Ability] Fan Call: Once during your first turn, you may search your deck for up to 3 Colorless Pokémon with 100 HP or less, reveal them, and put them into your hand. Then, shuffle your deck. You can't use more than 1 Fan Call Ability during your turn.","[Colorless] Assault Landing 70 — If there is no Stadium in play, this attack does nothing.",Lightning ×2,Fighting -30,1,ASC,Ascended Heroes,171,Common,H,
Fan Rotom,Pokémon,Basic,70,Colorless,,"[Ability] Fan Call: Once during your first turn, you may search your deck for up to 3 Colorless Pokémon with 100 HP or less, reveal them, and put them into your hand. Then, shuffle your deck. You can't use more than 1 Fan Call Ability during your turn.","[Colorless] Assault Landing 70 — If there is no Stadium in play, this attack does nothing.",Lightning ×2,Fighting -30,1,ASC,Ascended Heroes,250,Illustration Rare,H,
Fan Rotom,Pokémon,Basic,70,Colorless,,"[Ability] Fan Call: Once during your first turn, you may search your deck for up to 3 Colorless Pokémon with 100 HP or less, reveal them, and put them into your hand. Then, shuffle your deck. You can't use more than 1 Fan Call Ability during your turn.","[Colorless] Assault Landing 70 — If there is no Stadium in play, this attack does nothing.",Lightning ×2,Fighting -30,1,SCR,Stellar Crown,118,Common,H,
Fan Rotom,Pokémon,Basic,70,Colorless,,"[Ability] Fan Call: Once during your first turn, you may search your deck for up to 3 Colorless Pokémon with 100 HP or less, reveal them, and put them into your hand. Then, shuffle your deck. You can't use more than 1 Fan Call Ability during your turn.","[Colorless] Assault Landing 70 — If there is no Stadium in play, this attack does nothing.",Lightning ×2,Fighting -30,1,PRE,Prismatic Evolutions,85,Common,H,
Farfetch'd,Pokémon,Basic,90,Colorless,,,[Colorless] Package Deal — Draw 2 cards. | [Colorless] Leek Clobber 30,Lightning ×2,Fighting -30,1,MEW,151,83,Common,G,
Farfetch'd,Pokémon,Basic,70,Colorless,,"[Ability] Impromptu Carrier: When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Pokémon Tool card and attach it to this Pokémon. Then, shuffle your deck.",[Colorless] Mach Cut 30 — Discard a Special Energy from your opponent's Active Pokémon.,Lightning ×2,Fighting -30,1,TWM,Twilight Masquerade,132,Common,H,
Farigiraf,Pokémon,Stage 1,140,Colorless,Girafarig,,"[Colorless] Either Face — Choose a player. That player shuffles their hand into their deck and draws 4 cards. | [Colorless,Colorless,Colorless] Power Beam 130",Fighting ×2,,2,PAL,Paldea Evolved,155,Uncommon,G,
Farigiraf,Pokémon,Stage 1,140,Colorless,Girafarig,,"[Colorless] Either Face — Choose a player. That player shuffles their hand into their deck and draws 4 cards. | [Colorless,Colorless,Colorless] Power Beam 130",Fighting ×2,,2,PAL,Paldea Evolved,228,Illustration Rare,G,
