name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Golduck,Pokémon,Stage 1,120,Water,Psyduck,[Ability] Damp: Pokémon in play (both yours and your opponent's) lose any Ability that requires the Pokémon using it to Knock Out itself.,"[Colorless,Colorless,Colorless] Hydro Pump 60+ — This attack does 20 more damage for each Water Energy attached to this Pokémon.",Lightning ×2,,1,ASC,Ascended Heroes,40,Uncommon,I,
Golduck,Pokémon,Stage 1,110,Water,Psyduck,,"[Colorless] Aquatic Rescue — Put up to 4 Pokémon from your discard pile into your hand. | [Water,Water,Colorless] Super Splash 120",Lightning ×2,,1,MEW,151,55,Uncommon,G,
Golem ex,Pokémon,"Stage 2,ex",330,Fighting,Graveler,,"[Fighting] Dynamic Roll 50 — During your next turn, attacks used by this Pokémon do 120 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | [Fighting,Colorless,Colorless] Rock Blaster 180 — This attack's damage isn't affected by Resistance.",Grass ×2,,4,MEW,151,76,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Golem ex,Pokémon,"Stage 2,ex",330,Fighting,Graveler,,"[Fighting] Dynamic Roll 50 — During your next turn, attacks used by this Pokémon do 120 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | [Fighting,Colorless,Colorless] Rock Blaster 180 — This attack's damage isn't affected by Resistance.",Grass ×2,,4,MEW,151,189,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Golett,Pokémon,Basic,90,Fighting,,,"[Fighting] Iron Defense — Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks. | [Colorless,Colorless,Colorless] Punch 40",Grass ×2,,3,TEF,Temporal Forces,87,Common,H,
Golett,Pokémon,Basic,90,Psychic,,,"[Colorless,Colorless] Best Punch 60 — Flip a coin. If tails, this attack does nothing.",Darkness ×2,Fighting -30,3,BLK,Black Bolt,42,Common,I,
Golett,Pokémon,Basic,90,Psychic,,,"[Colorless,Colorless] Best Punch 60 — Flip a coin. If tails, this attack does nothing.",Darkness ×2,Fighting -30,3,BLK,Black Bolt,122,Illustration Rare,I,
Golisopod,Pokémon,Stage 1,140,Water,Wimpod,,"[Water] Powerful Cross 20× — This attack does 20 damage for each card in your opponent's hand. | [Water,Water,Colorless] Waterfall 130",Lightning ×2,,2,PAR,Paradox Rift,49,Rare,G,
Golisopod ex,Pokémon,"Stage 1,ex",270,Water,Wimpod,,"[Colorless,Colorless] Aqua Blade 70 | [Water,Colorless,Colorless] Swing and Skedaddle 170 — Discard an Energy from this Pokémon. If you do, switch it with 1 of your Benched Pokémon.",Lightning ×2,,3,PAR,Paradox Rift,50,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Golisopod ex,Pokémon,"Stage 1,ex",270,Water,Wimpod,,"[Colorless,Colorless] Aqua Blade 70 | [Water,Colorless,Colorless] Swing and Skedaddle 170 — Discard an Energy from this Pokémon. If you do, switch it with 1 of your Benched Pokémon.",Lightning ×2,,3,PAR,Paradox Rift,221,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
