name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Hariyama,Pokémon,Stage 1,150,Fighting,Makuhita,"[Ability] Heave-Ho Catcher: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Switch in 1 of your opponent's Benched Pokémon to the Active Spot.","[Fighting,Fighting,Fighting] Wild Press 210 — This Pokémon also does 70 damage to itself.",Psychic ×2,,3,MEG,Mega Evolution,73,Rare,I,
Hariyama,Pokémon,Stage 1,140,Fighting,Makuhita,[Ability] Arm Thrust Practice: All of your Pokémon take 10 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance).,"[Fighting,Colorless,Colorless] Rocket Slap 120",Psychic ×2,,3,PAL,Paldea Evolved,113,Rare,G,
Haunter,Pokémon,Stage 1,100,Darkness,Gastly,,[Darkness] Spooky Shot 40,Fighting ×2,,1,PFL,Phantasmal Flames,55,Uncommon,I,
Haunter,Pokémon,Stage 1,100,Darkness,Gastly,,[Darkness] Spooky Shot 40,Fighting ×2,,1,ASC,Ascended Heroes,124,Uncommon,I,
Haunter,Pokémon,Stage 1,80,Psychic,Gastly,"[Ability] Spirit Return: When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put a Supporter card from your opponent's discard pile into their hand.","[Psychic,Colorless] Mumble 30",Darkness ×2,Fighting -30,1,MEW,151,93,Uncommon,G,
Haunter,Pokémon,Stage 1,80,Darkness,Gastly,,"[Darkness,Colorless] Dark Slumber 40 — Your opponent's Active Pokémon is now Asleep.",Fighting ×2,,1,PAF,Paldean Fates,56,Common,G,
Haunter,Pokémon,Stage 1,90,Darkness,Gastly,,"[Darkness,Darkness] Super Poison Breath 30 — Your opponent's Active Pokémon is now Poisoned.",Fighting ×2,,1,TEF,Temporal Forces,103,Common,H,
Hawlucha,Pokémon,Basic,70,Fighting,,"[Ability] Flying Entry: When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them.","[Fighting,Colorless,Colorless] Wing Attack 70",Psychic ×2,,1,SVI,Scarlet & Violet,118,Rare,G,
Hawlucha,Pokémon,Basic,70,Fighting,,"[Ability] Flying Entry: When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them.","[Fighting,Colorless,Colorless] Wing Attack 70",Psychic ×2,,1,PAF,Paldean Fates,175,Shiny Rare,G,
Hawlucha,Pokémon,Basic,70,Fighting,,,"[Fighting,Fighting] Prize Count 50+ — If you have more Prize cards remaining than your opponent, this attack does 90 more damage.",Psychic ×2,,1,TWM,Twilight Masquerade,107,Common,H,
Hawlucha,Pokémon,Basic,80,Colorless,,,"[Colorless] Rising Tackle 10+ — If your opponent's Active Pokémon is a Pokémon ex, this attack does 50 more damage.",Lightning ×2,Fighting -30,1,PRE,Prismatic Evolutions,89,Uncommon,H,
Hawlucha,Pokémon,Basic,70,Fighting,,"[Ability] Flying Entry: When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them.","[Fighting,Colorless,Colorless] Wing Attack 70",Psychic ×2,,1,PR-SV,Scarlet & Violet Black Star Promos,7,Promo,G,
Haxorus,Pokémon,Stage 2,170,Dragon,Fraxure,,"[Fighting] Bring Down the Axe — If your opponent's Active Pokémon has any Special Energy attached, it is Knocked Out. | [Fighting,Metal] Dragon Pulse 230 — Discard the top 3 cards of your deck.",,,2,SFA,Shrouded Fable,46,Rare,H,
Haxorus,Pokémon,Stage 2,170,Dragon,Fraxure,,"[Colorless,Colorless] Cross-Cut 80+ — If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 80 more damage. | [Fighting,Metal,Colorless] Axe Blast — If your opponent's Active Pokémon is a Basic Pokémon, it is Knocked Out.",,,3,BLK,Black Bolt,70,Rare,I,
Haxorus,Pokémon,Stage 2,170,Dragon,Fraxure,,"[Colorless,Colorless] Cross-Cut 80+ — If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 80 more damage. | [Fighting,Metal,Colorless] Axe Blast — If your opponent's Active Pokémon is a Basic Pokémon, it is Knocked Out.",,,3,BLK,Black Bolt,147,Illustration Rare,I,
Hearthflame Mask Ogerpon,Pokémon,Basic,110,Fire,,,"[Colorless] Fire Kagura — Search your deck for a Basic Fire Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck. | [Fire,Fire,Colorless] Searing Flame 80 — Your opponent's Active Pokémon is now Burned.",Water ×2,,1,DRI,Destined Rivals,44,Uncommon,I,
