name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Illumise,Pokémon,Basic,70,Grass,,,"[Colorless] Slowing Perfume — You can use this attack only if you go second, and only during your first turn. Shuffle 1 of your opponent's Benched Pokémon and all attached cards into their deck. | [Grass,Colorless] Glide 30",Fire ×2,,1,TWM,Twilight Masquerade,10,Common,H,
Impidimp,Pokémon,Basic,70,Darkness,,,"[Colorless] Smack 10 | [Darkness,Colorless,Colorless] Claw Slash 40",Grass ×2,,1,SCR,Stellar Crown,94,Common,H,
Impidimp,Pokémon,Basic,70,Psychic,,,[Psychic] Gentle Slap 20,Metal ×2,,1,JTG,Journey Together,71,Common,H,
Incineroar ex,Pokémon,"Stage 2,ex",320,Fire,Torracat,[Ability] Hustle Play: Attacks used by this Pokémon cost Colorless less for each of your opponent's Benched Pokémon.,"[Fire,Colorless,Colorless,Colorless,Colorless] Blaze Blast 240 — Your opponent's Active Pokémon is now Burned.",Water ×2,,2,TEF,Temporal Forces,34,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Incineroar ex,Pokémon,"Stage 2,ex",320,Fire,Torracat,[Ability] Hustle Play: Attacks used by this Pokémon cost Colorless less for each of your opponent's Benched Pokémon.,"[Fire,Colorless,Colorless,Colorless,Colorless] Blaze Blast 240 — Your opponent's Active Pokémon is now Burned.",Water ×2,,2,TEF,Temporal Forces,187,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Indeedee,Pokémon,Basic,90,Colorless,,,"[Colorless] Expert Nurturer — Search your deck for a card that evolves from 1 of your Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck. | [Colorless,Colorless] Hypnoblast 30 — Your opponent's Active Pokémon is now Asleep.",Fighting ×2,,1,SVI,Scarlet & Violet,153,Rare,G,
Indeedee,Pokémon,Basic,100,Psychic,,"[Ability] Obliging Heal: When you play this Pokémon from your hand onto your Bench during your turn, you may heal 30 damage from your Active Pokémon and have it recover from a Special Condition.","[Psychic,Colorless] Super Psy Bolt 50",Darkness ×2,Fighting -30,1,SSP,Surging Sparks,93,Uncommon,H,
Indeedee,Pokémon,Basic,100,Psychic,,"[Ability] Obliging Heal: When you play this Pokémon from your hand onto your Bench during your turn, you may heal 30 damage from your Active Pokémon and have it recover from a Special Condition.","[Psychic,Colorless] Super Psy Bolt 50",Darkness ×2,Fighting -30,1,PR-SV,Scarlet & Violet Black Star Promos,154,Promo,H,
Infernape,Pokémon,Stage 2,140,Fire,Monferno,"[Ability] Pyro Dance: Once during your turn, you may attach a Basic Fire Energy card, a Basic Fighting Energy card, or 1 of each from your hand to your Pokémon in any way you like.","[Fire,Fire,Colorless] Scorching Fire 200 — Discard an Energy from this Pokémon.",Water ×2,,1,TWM,Twilight Masquerade,33,Rare,H,
Infernape,Pokémon,Stage 2,140,Fire,Monferno,"[Ability] Pyro Dance: Once during your turn, you may attach a Basic Fire Energy card, a Basic Fighting Energy card, or 1 of each from your hand to your Pokémon in any way you like.","[Fire,Fire,Colorless] Scorching Fire 200 — Discard an Energy from this Pokémon.",Water ×2,,1,TWM,Twilight Masquerade,173,Illustration Rare,H,
Infernape,Pokémon,Stage 2,140,Fire,Monferno,"[Ability] Pyro Dance: Once during your turn, you may attach a Basic Fire Energy card, a Basic Fighting Energy card, or 1 of each from your hand to your Pokémon in any way you like.","[Fire,Fire,Colorless] Scorching Fire 200 — Discard an Energy from this Pokémon.",Water ×2,,1,PR-SV,Scarlet & Violet Black Star Promos,116,Promo,H,
Inkay,Pokémon,Basic,60,Darkness,,,"[Darkness,Colorless] Hug 30 — During your opponent's next turn, the Defending Pokémon can't retreat.",Grass ×2,,1,OBF,Obsidian Flames,137,Common,G,
Inkay,Pokémon,Basic,60,Darkness,,,[Colorless] Mischievous Tentacles — Look at the top card of your opponent's deck. You may have your opponent shuffle their deck. | [Darkness] Peck 10,Grass ×2,,1,SFA,Shrouded Fable,33,Common,H,
Inteleon,Pokémon,Stage 2,150,Water,Drizzile,,"[Water] Bring Down — Choose a Pokémon in play (yours or your opponent's) that has the least HP remaining, except for this Pokémon, and it is Knocked Out. | [Water] Water Shot 110 — Discard an Energy from this Pokémon.",Lightning ×2,,1,MEG,Mega Evolution,41,Uncommon,I,
Inteleon,Pokémon,Stage 2,150,Water,Drizzile,,"[Water] Bring Down — Choose a Pokémon in play (yours or your opponent's) that has the least HP remaining, except for this Pokémon, and it is Knocked Out. | [Water] Water Shot 110 — Discard an Energy from this Pokémon.",Lightning ×2,,1,MEG,Mega Evolution,142,Illustration Rare,I,
Iono's Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Iono's Tadbulb,"[Ability] Electric Streamer: As often as you like during your turn, you may attach a Basic Lightning Energy card from your hand to 1 of your Iono's Pokémon.","[Lightning,Lightning,Lightning,Colorless] Thunderous Bolt 230 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,ASC,Ascended Heroes,70,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Iono's Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Iono's Tadbulb,"[Ability] Electric Streamer: As often as you like during your turn, you may attach a Basic Lightning Energy card from your hand to 1 of your Iono's Pokémon.","[Lightning,Lightning,Lightning,Colorless] Thunderous Bolt 230 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,ASC,Ascended Heroes,279,Special Illustration Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Iono's Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Iono's Tadbulb,"[Ability] Electric Streamer: As often as you like during your turn, you may attach a Basic Lightning Energy card from your hand to 1 of your Iono's Pokémon.","[Lightning,Lightning,Lightning,Colorless] Thunderous Bolt 230 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,JTG,Journey Together,53,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Iono's Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Iono's Tadbulb,"[Ability] Electric Streamer: As often as you like during your turn, you may attach a Basic Lightning Energy card from your hand to 1 of your Iono's Pokémon.","[Lightning,Lightning,Lightning,Colorless] Thunderous Bolt 230 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,JTG,Journey Together,172,Ultra Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Iono's Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Iono's Tadbulb,"[Ability] Electric Streamer: As often as you like during your turn, you may attach a Basic Lightning Energy card from your hand to 1 of your Iono's Pokémon.","[Lightning,Lightning,Lightning,Colorless] Thunderous Bolt 230 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,JTG,Journey Together,183,Special Illustration Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Iono's Bellibolt ex,Pokémon,"Stage 1,ex",280,Lightning,Iono's Tadbulb,"[Ability] Electric Streamer: As often as you like during your turn, you may attach a Basic Lightning Energy card from your hand to 1 of your Iono's Pokémon.","[Lightning,Lightning,Lightning,Colorless] Thunderous Bolt 230 — During your next turn, this Pokémon can't attack.",Fighting ×2,,2,JTG,Journey Together,188,Hyper Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Iono's Electrode,Pokémon,Stage 1,100,Lightning,Iono's Voltorb,,"[Lightning,Lightning] Thump-Thump Boom — This Pokémon does 100 damage to itself. Flip a coin. If heads, your opponent's Active Pokémon is Knocked Out. | [Lightning,Lightning,Colorless] Electric Ball 100",Fighting ×2,,0,JTG,Journey Together,48,Uncommon,I,
Iono's Kilowattrel,Pokémon,Stage 1,120,Lightning,Iono's Wattrel,"[Ability] Flashing Draw: You must discard a Basic Lightning Energy from this Pokémon in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.","[Lightning,Colorless,Colorless] Mach Bolt 70",Lightning ×2,Fighting -30,1,ASC,Ascended Heroes,72,Rare,I,
Iono's Kilowattrel,Pokémon,Stage 1,120,Lightning,Iono's Wattrel,"[Ability] Flashing Draw: You must discard a Basic Lightning Energy from this Pokémon in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.","[Lightning,Colorless,Colorless] Mach Bolt 70",Lightning ×2,Fighting -30,1,JTG,Journey Together,55,Rare,I,
Iono's Kilowattrel,Pokémon,Stage 1,120,Lightning,Iono's Wattrel,"[Ability] Flashing Draw: You must discard a Basic Lightning Energy from this Pokémon in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand.","[Lightning,Colorless,Colorless] Mach Bolt 70",Lightning ×2,Fighting -30,1,JTG,Journey Together,163,Illustration Rare,I,
Iono's Tadbulb,Pokémon,Basic,60,Lightning,,,"[Lightning,Colorless] Tiny Charge 30",Fighting ×2,,2,ASC,Ascended Heroes,69,Common,I,
Iono's Tadbulb,Pokémon,Basic,60,Lightning,,,"[Lightning,Colorless] Tiny Charge 30",Fighting ×2,,2,JTG,Journey Together,52,Common,I,
Iono's Voltorb,Pokémon,Basic,70,Lightning,,,"[Colorless,Colorless] Voltaic Chain 20+ — This attack does 20 more damage for each Lightning Energy attached to all of your Iono's Pokémon.",Fighting ×2,,1,JTG,Journey Together,47,Common,I,
Iono's Wattrel,Pokémon,Basic,60,Lightning,,,"[Lightning] Quick Attack 10+ — Flip a coin. If heads, this attack does 20 more damage.",Lightning ×2,Fighting -30,1,ASC,Ascended Heroes,71,Common,I,
Iono's Wattrel,Pokémon,Basic,60,Lightning,,,"[Lightning] Quick Attack 10+ — Flip a coin. If heads, this attack does 20 more damage.",Lightning ×2,Fighting -30,1,ASC,Ascended Heroes,231,Illustration Rare,I,
Iono's Wattrel,Pokémon,Basic,60,Lightning,,,"[Lightning] Quick Attack 10+ — Flip a coin. If heads, this attack does 20 more damage.",Lightning ×2,Fighting -30,1,JTG,Journey Together,54,Common,I,
