name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Jellicent ex,Pokémon,"Stage 1,ex",270,Psychic,Frillish,"[Ability] Oceanic Curse: As long as this Pokémon is in the Active Spot, your opponent can't play any Item cards or Pokémon Tool cards from their hand.","[Psychic,Colorless] Power Press 80+ — If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 80 more damage.",Darkness ×2,Fighting -30,3,WHT,White Flare,45,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Jellicent ex,Pokémon,"Stage 1,ex",270,Psychic,Frillish,"[Ability] Oceanic Curse: As long as this Pokémon is in the Active Spot, your opponent can't play any Item cards or Pokémon Tool cards from their hand.","[Psychic,Colorless] Power Press 80+ — If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 80 more damage.",Darkness ×2,Fighting -30,3,WHT,White Flare,160,Ultra Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Jellicent ex,Pokémon,"Stage 1,ex",270,Psychic,Frillish,"[Ability] Oceanic Curse: As long as this Pokémon is in the Active Spot, your opponent can't play any Item cards or Pokémon Tool cards from their hand.","[Psychic,Colorless] Power Press 80+ — If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 80 more damage.",Darkness ×2,Fighting -30,3,WHT,White Flare,168,Special Illustration Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Jigglypuff,Pokémon,Basic,70,Colorless,,,[Colorless] Ball Roll 20× — Flip a coin until you get tails. This attack does 20 damage for each heads.,Fighting ×2,,1,PFL,Phantasmal Flames,76,Common,I,
Jigglypuff,Pokémon,Basic,70,Psychic,,,"[Colorless] Sing — Your opponent's Active Pokémon is now Asleep. | [Psychic,Colorless] Slap 20",Metal ×2,,1,PAL,Paldea Evolved,83,Common,G,
Jigglypuff,Pokémon,Basic,70,Colorless,,,"[Colorless] Lead — Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck. | [Colorless,Colorless] Stompy Stomp 20× — Flip 2 coins. This attack does 20 damage for each heads.",Fighting ×2,,1,MEW,151,39,Common,G,
Jigglypuff,Pokémon,Basic,70,Colorless,,,"[Colorless] Lead — Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck. | [Colorless,Colorless] Stompy Stomp 20× — Flip 2 coins. This attack does 20 damage for each heads.",Fighting ×2,,1,PAF,Paldean Fates,198,Shiny Rare,G,
Jirachi,Pokémon,Basic,70,Metal,,[Ability] Stellar Veil: Prevent all damage counters from being placed on your Benched Pokémon by effects of attacks used by your opponent's Basic Pokémon.,"[Colorless] Charge Energy — Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Fire ×2,Grass -30,1,PAR,Paradox Rift,126,Common,G,
Jirachi,Pokémon,Basic,80,Metal,,,"[Colorless] Swelling Wish — Attach a Basic Energy card from your discard pile to 1 of your Benched Pokémon. | [Metal,Colorless] Slap 30",Fire ×2,Grass -30,1,SCR,Stellar Crown,98,Uncommon,H,
Jolteon,Pokémon,Stage 1,110,Lightning,Eevee,,"[Lightning] Linear Attack — This attack does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Colorless,Colorless] Fighting Lightning 90+ — If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.",Fighting ×2,,0,MEW,151,135,Rare,G,
Jolteon,Pokémon,Stage 1,110,Lightning,Eevee,,"[Lightning] Linear Attack — This attack does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Colorless,Colorless] Fighting Lightning 90+ — If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.",Fighting ×2,,0,PRE,Prismatic Evolutions,29,Rare,G,
Jolteon ex,Pokémon,"Stage 1,Tera,ex",260,Lightning,Eevee,,"[Lightning,Colorless] Flashing Spear 60+ — You may discard up to 2 Basic Energy from your Benched Pokémon. This attack does 90 more damage for each card you discarded in this way. | [Fire,Water,Lightning] Dravite 280 — During your next turn, this Pokémon can't attack.",Fighting ×2,,0,PRE,Prismatic Evolutions,30,Double Rare,H,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's). | Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
