name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Kabuto,Pokémon,Stage 1,90,Fighting,Antique Dome Fossil,,"[Fighting,Colorless] Double Scratch 70× — Flip 2 coins. This attack does 70 damage for each heads.",Grass ×2,,2,MEW,151,140,Uncommon,G,
Kabutops,Pokémon,Stage 2,160,Fighting,Kabuto,[Ability] Ancient Way: Apply Weakness for your opponent's Active Pokémon as ×4 instead.,"[Fighting,Colorless,Colorless] Draining Blade 100 — Heal 30 damage from this Pokémon.",Grass ×2,,2,MEW,151,141,Rare,G,
Kadabra,Pokémon,Stage 1,80,Psychic,Abra,"[Ability] Psychic Draw: Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 2 cards.",[Psychic] Super Psy Bolt 30,Darkness ×2,Fighting -30,1,MEG,Mega Evolution,55,Uncommon,I,
Kadabra,Pokémon,Stage 1,80,Psychic,Abra,,[Psychic] Teleportation Attack 30 — Switch this Pokémon with 1 of your Benched Pokémon.,Darkness ×2,Fighting -30,1,MEW,151,64,Uncommon,G,
Kadabra,Pokémon,Stage 1,80,Psychic,Abra,,[Psychic] Teleportation Attack 30 — Switch this Pokémon with 1 of your Benched Pokémon.,Darkness ×2,Fighting -30,1,PAF,Paldean Fates,149,Shiny Rare,G,
Kadabra,Pokémon,Stage 1,80,Psychic,Abra,,[Psychic] Psychic 10+ — This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,Darkness ×2,Fighting -30,1,TWM,Twilight Masquerade,81,Common,H,
Kakuna,Pokémon,Stage 1,80,Grass,Weedle,[Ability] Cocoon Cover: Prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.),"[Colorless,Colorless] Zzzt 20",Fire ×2,,3,MEW,151,14,Common,G,
Kangaskhan,Pokémon,Basic,120,Colorless,,,"[Colorless,Colorless] Gentle Slap 50 | [Colorless,Colorless,Colorless] Dizzy Punch 90× — Flip 2 coins. This attack does 90 damage for each heads.",Fighting ×2,,2,DRI,Destined Rivals,151,Common,I,
Kangaskhan,Pokémon,Basic,120,Colorless,,,"[Colorless,Colorless] Gentle Slap 50 | [Colorless,Colorless,Colorless] Dizzy Punch 90× — Flip 2 coins. This attack does 90 damage for each heads.",Fighting ×2,,2,DRI,Destined Rivals,204,Illustration Rare,I,
Kangaskhan,Pokémon,Basic,130,Colorless,,,"[Colorless] Headbutt 30 | [Colorless,Colorless] Spike Draw 60 — Draw 2 cards.",Fighting ×2,,2,OBF,Obsidian Flames,165,Uncommon,G,
Kangaskhan ex,Pokémon,"Basic,ex",230,Colorless,,,"[Colorless] Triple Draw — Draw 3 cards. | [Colorless,Colorless,Colorless] Incessant Punching 100× — Flip 4 coins. This attack does 100 damage for each heads.",Fighting ×2,,2,MEW,151,115,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Kangaskhan ex,Pokémon,"Basic,ex",230,Colorless,,,"[Colorless] Triple Draw — Draw 3 cards. | [Colorless,Colorless,Colorless] Incessant Punching 100× — Flip 4 coins. This attack does 100 damage for each heads.",Fighting ×2,,2,MEW,151,190,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Kangaskhan ex,Pokémon,"Basic,ex",230,Colorless,,,"[Colorless] Triple Draw — Draw 3 cards. | [Colorless,Colorless,Colorless] Incessant Punching 100× — Flip 4 coins. This attack does 100 damage for each heads.",Fighting ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,55,Promo,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Karrablast,Pokémon,Basic,60,Grass,,,[Colorless] Push Down 10 — Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),Fire ×2,,1,JTG,Journey Together,9,Common,I,
Karrablast,Pokémon,Basic,60,Grass,,"[Ability] Stimulated Evolution: If you have Shelmet in play, this Pokémon can evolve during your first turn or the turn you play it.",[Colorless] Horn Attack 10,Fire ×2,,1,BLK,Black Bolt,9,Common,I,
Karrablast,Pokémon,Basic,60,Grass,,"[Ability] Stimulated Evolution: If you have Shelmet in play, this Pokémon can evolve during your first turn or the turn you play it.",[Colorless] Horn Attack 10,Fire ×2,,1,BLK,Black Bolt,94,Illustration Rare,I,
Kecleon,Pokémon,Basic,70,Colorless,,"[Ability] Expert Hider: If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.","[Colorless,Colorless] Lick Whip — This attack does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting ×2,,1,SSP,Surging Sparks,150,Common,H,
Kecleon,Pokémon,Basic,70,Colorless,,"[Ability] Expert Hider: If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.","[Colorless,Colorless] Lick Whip — This attack does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting ×2,,1,SSP,Surging Sparks,213,Illustration Rare,H,
Kecleon,Pokémon,Basic,80,Colorless,,,"[Colorless,Colorless,Colorless] Stealth Attack 80 — Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",Fighting ×2,,1,JTG,Journey Together,122,Common,H,
Keldeo,Pokémon,Basic,110,Water,,,"[Water] Rapid Draw 20 — Draw 2 cards. | [Water,Water,Colorless] Aqua Blade 110",Lightning ×2,,1,TEF,Temporal Forces,44,Uncommon,H,
Keldeo ex,Pokémon,"Basic,ex",210,Water,,,"[Water,Colorless] Gale Thrust 30+ — If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 90 more damage. | [Water,Colorless,Colorless] Sonic Edge 120 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Lightning ×2,,2,WHT,White Flare,30,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Keldeo ex,Pokémon,"Basic,ex",210,Water,,,"[Water,Colorless] Gale Thrust 30+ — If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 90 more damage. | [Water,Colorless,Colorless] Sonic Edge 120 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Lightning ×2,,2,WHT,White Flare,159,Ultra Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Keldeo ex,Pokémon,"Basic,ex",210,Water,,,"[Water,Colorless] Gale Thrust 30+ — If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 90 more damage. | [Water,Colorless,Colorless] Sonic Edge 120 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Lightning ×2,,2,WHT,White Flare,167,Special Illustration Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Kilowattrel,Pokémon,Stage 1,120,Lightning,Wattrel,,"[Colorless,Colorless] Skill Dive — This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Colorless,Colorless] Thunder Blast 140 — Discard a Lightning Energy from this Pokémon.",Lightning ×2,Fighting -30,1,SVI,Scarlet & Violet,79,Uncommon,G,
