name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Lairon,Pokémon,Stage 1,110,Metal,Aron,,"[Metal] Steel Tackle 40 — This Pokémon also does 20 damage to itself. | [Metal,Colorless,Colorless] Metal Claw 60",Fire ×2,Grass -30,3,TWM,Twilight Masquerade,121,Common,H,
Lairon,Pokémon,Stage 1,110,Metal,Aron,,"[Metal] Steel Tackle 40 — This Pokémon also does 20 damage to itself. | [Metal,Colorless,Colorless] Metal Claw 60",Fire ×2,Grass -30,3,TWM,Twilight Masquerade,184,Illustration Rare,H,
Lampent,Pokémon,Stage 1,80,Fire,Litwick,,[Fire] Fire Blast 50 — Discard an Energy from this Pokémon.,Water ×2,,1,WHT,White Flare,17,Common,I,
Lampent,Pokémon,Stage 1,80,Fire,Litwick,,[Fire] Fire Blast 50 — Discard an Energy from this Pokémon.,Water ×2,,1,WHT,White Flare,102,Illustration Rare,I,
Lampent,Pokémon,Stage 1,80,Fire,Litwick,,"[Fire] Flare 20 | [Fire,Colorless] Alluring Fireball — Switch in 1 of your opponent's Benched Pokémon to the Active Spot. This attack does 30 damage to the new Active Pokémon.",Water ×2,,1,OBF,Obsidian Flames,37,Common,G,
Lampent,Pokémon,Stage 1,80,Fire,Litwick,,"[Fire] Live Coal 20 | [Fire,Colorless] Burn It All Up 60 — Discard all Energy from this Pokémon.",Water ×2,,1,TWM,Twilight Masquerade,37,Common,H,
Landorus,Pokémon,Basic,130,Fighting,,,"[Fighting] Fist of Focus 30 — Attach an Energy card from your discard pile to this Pokémon. | [Fighting,Colorless,Colorless,Colorless] Buster Swing 130 — This attack's damage isn't affected by Resistance.",Grass ×2,,2,SSP,Surging Sparks,110,Rare,H,
Landorus,Pokémon,Basic,130,Fighting,,,"[Colorless] Abundant Harvest — Attach a Basic Fighting Energy card from your discard pile to this Pokémon. | [Fighting,Colorless,Colorless] Earthquake 110 — This attack also does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Grass ×2,,2,BLK,Black Bolt,53,Rare,I,
Landorus,Pokémon,Basic,130,Fighting,,,"[Colorless] Abundant Harvest — Attach a Basic Fighting Energy card from your discard pile to this Pokémon. | [Fighting,Colorless,Colorless] Earthquake 110 — This attack also does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Grass ×2,,2,BLK,Black Bolt,131,Illustration Rare,I,
Lanturn,Pokémon,Stage 1,120,Lightning,Chinchou,,"[Colorless,Colorless] Lightning Ball 50 | [Lightning,Lightning,Colorless] Aqua Spark 80+ — If this Pokémon has any Water Energy attached, this attack does 120 more damage.",Fighting ×2,,2,PAF,Paldean Fates,21,Uncommon,G,
