name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Mega Lopunny ex,Pokémon,"Stage 1,MEGA,ex",330,Colorless,Buneary,,"[Colorless] Gale Thrust 60+ — If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 170 more damage. | [Colorless,Colorless] Spiky Hopper 160 — This attack's damage isn't affected by any effects on your opponent's Active Pokémon.",Fighting ×2,,1,PFL,Phantasmal Flames,128,Special Illustration Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Lucario ex,Pokémon,"Stage 1,MEGA,ex",340,Fighting,Riolu,,"[Fighting] Aura Jab 130 — Attach up to 3 Basic Fighting Energy cards from your discard pile to your Benched Pokémon in any way you like. | [Fighting,Fighting] Mega Brave 270 — During your next turn, this Pokémon can't use Mega Brave.",Psychic ×2,,2,MEG,Mega Evolution,77,Double Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Lucario ex,Pokémon,"Stage 1,MEGA,ex",340,Fighting,Riolu,,"[Fighting] Aura Jab 130 — Attach up to 3 Basic Fighting Energy cards from your discard pile to your Benched Pokémon in any way you like. | [Fighting,Fighting] Mega Brave 270 — During your next turn, this Pokémon can't use Mega Brave.",Psychic ×2,,2,MEG,Mega Evolution,160,Ultra Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Lucario ex,Pokémon,"Stage 1,MEGA,ex",340,Fighting,Riolu,,"[Fighting] Aura Jab 130 — Attach up to 3 Basic Fighting Energy cards from your discard pile to your Benched Pokémon in any way you like. | [Fighting,Fighting] Mega Brave 270 — During your next turn, this Pokémon can't use Mega Brave.",Psychic ×2,,2,MEG,Mega Evolution,179,Special Illustration Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Lucario ex,Pokémon,"Stage 1,MEGA,ex",340,Fighting,Riolu,,"[Fighting] Aura Jab 130 — Attach up to 3 Basic Fighting Energy cards from your discard pile to your Benched Pokémon in any way you like. | [Fighting,Fighting] Mega Brave 270 — During your next turn, this Pokémon can't use Mega Brave.",Psychic ×2,,2,MEG,Mega Evolution,188,Mega Hyper Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Lucario ex,Pokémon,"Stage 1,MEGA,ex",340,Fighting,Riolu,,"[Fighting] Aura Jab 130 — Attach up to 3 Basic Fighting Energy cards from your discard pile to your Benched Pokémon in any way you like. | [Fighting,Fighting] Mega Brave 270 — During your next turn, this Pokémon can't use Mega Brave.",Psychic ×2,,2,ASC,Ascended Heroes,113,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Manectric ex,Pokémon,"Stage 1,MEGA,ex",330,Lightning,Electrike,,"[Lightning,Lightning] Flash Ray 120 — During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon. | [Lightning,Lightning,Lightning] Riotous Blasting 200+ — You may discard all Energy from this Pokémon and have this attack do 130 more damage.",Fighting ×2,,0,MEG,Mega Evolution,50,Double Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Manectric ex,Pokémon,"Stage 1,MEGA,ex",330,Lightning,Electrike,,"[Lightning,Lightning] Flash Ray 120 — During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon. | [Lightning,Lightning,Lightning] Riotous Blasting 200+ — You may discard all Energy from this Pokémon and have this attack do 130 more damage.",Fighting ×2,,0,MEG,Mega Evolution,158,Ultra Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Mawile ex,Pokémon,"Basic,MEGA,ex",270,Metal,,,"[Metal,Metal] Gobble Down 80× — This attack does 80 damage for each Prize card you have taken. | [Metal,Metal,Colorless] Huge Bite 260 — If your opponent's Active Pokémon already has any damage counters on it, this attack's base damage is 30.",Fire ×2,Grass -30,2,MEG,Mega Evolution,94,Double Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Mawile ex,Pokémon,"Basic,MEGA,ex",270,Metal,,,"[Metal,Metal] Gobble Down 80× — This attack does 80 damage for each Prize card you have taken. | [Metal,Metal,Colorless] Huge Bite 260 — If your opponent's Active Pokémon already has any damage counters on it, this attack's base damage is 30.",Fire ×2,Grass -30,2,MEG,Mega Evolution,162,Ultra Rare,I,"Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Meganium ex,Pokémon,"Stage 2,MEGA,ex",360,Grass,Bayleef,,"[Colorless,Colorless,Colorless] Giant Bouquet 70+ — This attack does 50 more damage for each Grass Energy attached to this Pokémon.",Fire ×2,,2,ASC,Ascended Heroes,10,Double Rare,J,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Meganium ex,Pokémon,"Stage 2,MEGA,ex",360,Grass,Bayleef,,"[Colorless,Colorless,Colorless] Giant Bouquet 70+ — This attack does 50 more damage for each Grass Energy attached to this Pokémon.",Fire ×2,,2,ASC,Ascended Heroes,272,Special Illustration Rare,J,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Scrafty ex,Pokémon,"Stage 1,MEGA,ex",330,Darkness,Scraggy,"[Ability] Counterattacking Crest: If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), place 5 damage counters on the Attacking Pokémon.","[Darkness,Darkness,Colorless] Outlaw Leg 160 — Discard a random card from your opponent's hand. Discard the top card of your opponent's deck.",Grass ×2,,2,ASC,Ascended Heroes,135,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
Mega Scrafty ex,Pokémon,"Stage 1,MEGA,ex",330,Darkness,Scraggy,"[Ability] Counterattacking Crest: If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), place 5 damage counters on the Attacking Pokémon.","[Darkness,Darkness,Colorless] Outlaw Leg 160 — Discard a random card from your opponent's hand. Discard the top card of your opponent's deck.",Grass ×2,,2,ASC,Ascended Heroes,270,MEGA_ATTACK_RARE,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Mega Evolution ex Rule: When your Mega Evolution Pokémon ex is Knocked Out, your opponent takes 3 Prize cards."
