name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Phanpy,Pokémon,Basic,80,Fighting,,,"[Colorless,Colorless] Strength 30 | [Fighting,Fighting,Colorless] Rolling Tackle 60",Grass ×2,,2,PAF,Paldean Fates,48,Common,G,
Phanpy,Pokémon,Basic,80,Fighting,,,[Fighting] Headbutt 20,Grass ×2,,2,SSP,Surging Sparks,102,Common,H,
Phanpy,Pokémon,Basic,80,Fighting,,,[Fighting] Headbutt 20,Grass ×2,,2,SSP,Surging Sparks,205,Illustration Rare,H,
Phantump,Pokémon,Basic,60,Grass,,,"[Colorless,Colorless] Branch Poke 20",Fire ×2,,1,OBF,Obsidian Flames,11,Common,G,
Phantump,Pokémon,Basic,70,Grass,,,"[Grass,Colorless] Leech Seed 20 — Heal 20 damage from this Pokémon.",Fire ×2,,2,TWM,Twilight Masquerade,12,Common,H,
Phione,Pokémon,Basic,70,Water,,,[Colorless] Beckon — Put a Supporter card from your discard pile into your hand. | [Water] Energy Press 20× — This attack does 20 damage for each Energy attached to your opponent's Active Pokémon.,Lightning ×2,,1,TWM,Twilight Masquerade,55,Common,H,
Phione,Pokémon,Basic,70,Water,,,[Colorless] Beckon — Put a Supporter card from your discard pile into your hand. | [Water] Energy Press 20× — This attack does 20 damage for each Energy attached to your opponent's Active Pokémon.,Lightning ×2,,1,TWM,Twilight Masquerade,175,Illustration Rare,H,
Pidgeot,Pokémon,Stage 2,130,Colorless,Pidgeotto,,"[Colorless] Flap 40 | [Colorless,Colorless,Colorless] Fly 150 — Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",Lightning ×2,Fighting -30,0,MEW,151,18,Uncommon,G,
Pidgeot ex,Pokémon,"Stage 2,ex",280,Colorless,Pidgeotto,"[Ability] Quick Search: Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn.","[Colorless,Colorless] Blustery Wind 120 — You may discard a Stadium in play.",Lightning ×2,Fighting -30,0,OBF,Obsidian Flames,164,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Pidgeot ex,Pokémon,"Stage 2,ex",280,Colorless,Pidgeotto,"[Ability] Quick Search: Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn.","[Colorless,Colorless] Blustery Wind 120 — You may discard a Stadium in play.",Lightning ×2,Fighting -30,0,OBF,Obsidian Flames,217,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Pidgeot ex,Pokémon,"Stage 2,ex",280,Colorless,Pidgeotto,"[Ability] Quick Search: Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn.","[Colorless,Colorless] Blustery Wind 120 — You may discard a Stadium in play.",Lightning ×2,Fighting -30,0,OBF,Obsidian Flames,225,Special Illustration Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Pidgeot ex,Pokémon,"Stage 2,ex",280,Colorless,Pidgeotto,"[Ability] Quick Search: Once during your turn, you may search your deck for a card and put it into your hand. Then, shuffle your deck. You can't use more than 1 Quick Search Ability each turn.","[Colorless,Colorless] Blustery Wind 120 — You may discard a Stadium in play.",Lightning ×2,Fighting -30,0,PAF,Paldean Fates,221,Shiny Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Pidgeotto,Pokémon,Stage 1,90,Colorless,Pidgey,,"[Colorless,Colorless] Wing Attack 40",Lightning ×2,Fighting -30,1,OBF,Obsidian Flames,163,Uncommon,G,
Pidgeotto,Pokémon,Stage 1,90,Colorless,Pidgey,,"[Colorless,Colorless] Wing Attack 40",Lightning ×2,Fighting -30,1,OBF,Obsidian Flames,208,Illustration Rare,G,
Pidgeotto,Pokémon,Stage 1,80,Colorless,Pidgey,,[Colorless] Flap 20,Lightning ×2,Fighting -30,0,MEW,151,17,Common,G,
Pidgeotto,Pokémon,Stage 1,80,Colorless,Pidgey,,[Colorless] Flap 20,Lightning ×2,Fighting -30,0,PAF,Paldean Fates,197,Shiny Rare,G,
Pidgey,Pokémon,Basic,60,Colorless,,,[Colorless] Gust 20,Lightning ×2,Fighting -30,1,OBF,Obsidian Flames,162,Common,G,
Pidgey,Pokémon,Basic,60,Colorless,,,[Colorless] Gust 20,Lightning ×2,Fighting -30,1,OBF,Obsidian Flames,207,Illustration Rare,G,
Pidgey,Pokémon,Basic,50,Colorless,,,"[Colorless] Call for Family — Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. | [Colorless,Colorless] Tackle 20",Lightning ×2,Fighting -30,1,MEW,151,16,Common,G,
Pidgey,Pokémon,Basic,50,Colorless,,,"[Colorless] Call for Family — Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. | [Colorless,Colorless] Tackle 20",Lightning ×2,Fighting -30,1,PAF,Paldean Fates,196,Shiny Rare,G,
Pidove,Pokémon,Basic,50,Colorless,,"[Ability] Emergency Evolution: Once during your turn, if this Pokémon's remaining HP is 30 or less, you may search your deck for an Unfezant or Unfezant ex and put it onto this Pidove to evolve it. Then, shuffle your deck.",[Colorless] Gust 10,Lightning ×2,Fighting -30,1,TEF,Temporal Forces,133,Common,H,
Pidove,Pokémon,Basic,60,Colorless,,,[Colorless] Scout — Your opponent reveals their hand. | [Colorless] Stampede 10,Lightning ×2,Fighting -30,1,BLK,Black Bolt,71,Common,I,
Pidove,Pokémon,Basic,60,Colorless,,,[Colorless] Scout — Your opponent reveals their hand. | [Colorless] Stampede 10,Lightning ×2,Fighting -30,1,BLK,Black Bolt,148,Illustration Rare,I,
Pignite,Pokémon,Stage 1,110,Fire,Tepig,,"[Fire,Fire,Colorless] Super Singe 70 — Your opponent's Active Pokémon is now Burned.",Water ×2,,3,ASC,Ascended Heroes,30,Uncommon,J,
Pignite,Pokémon,Stage 1,110,Fire,Tepig,,"[Fire] Combustion 30 | [Fire,Fire,Colorless] Heat Crash 80",Water ×2,,3,WHT,White Flare,12,Common,I,
