name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Quagsire,Pokémon,Stage 1,120,Water,Wooper,,"[Water] Rollout 30 | [Water,Colorless,Colorless] Drenched Headbutt 80× — Discard the top 3 cards of your deck. This attack does 80 damage for each Energy card you discarded in this way.",Lightning ×2,,3,PR-SV,Scarlet & Violet Black Star Promos,156,Promo,H,
Quaquaval,Pokémon,Stage 2,170,Water,Quaxwell,"[Ability] Energy Carnival: Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokémon.","[Water,Colorless,Colorless] Hydro Kick 140",Lightning ×2,,2,SVI,Scarlet & Violet,54,Rare,G,
Quaquaval,Pokémon,Stage 2,170,Water,Quaxwell,"[Ability] Up-Tempo: You must put a card from your hand on the bottom of your deck in order to use this Ability. Once during your turn, you may draw cards until you have 5 cards in your hand.","[Water,Colorless] Hydro Splash 120",Lightning ×2,,2,SSP,Surging Sparks,52,Uncommon,H,
Quaquaval,Pokémon,Stage 2,170,Water,Quaxwell,"[Ability] Energy Carnival: Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokémon.","[Water,Colorless,Colorless] Hydro Kick 140",Lightning ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,5,Promo,G,
Quaquaval ex,Pokémon,"Stage 2,ex",320,Water,Quaxwell,,"[Water] Exciting Dance 60 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Water,Colorless] Spiral Shot 230 — Put 2 Energy attached to this Pokémon into your hand.",Lightning ×2,,2,PAL,Paldea Evolved,52,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Quaquaval ex,Pokémon,"Stage 2,ex",320,Water,Quaxwell,,"[Water] Exciting Dance 60 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Water,Colorless] Spiral Shot 230 — Put 2 Energy attached to this Pokémon into your hand.",Lightning ×2,,2,PAL,Paldea Evolved,235,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Quaquaval ex,Pokémon,"Stage 2,ex",320,Water,Quaxwell,,"[Water] Exciting Dance 60 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Water,Colorless] Spiral Shot 230 — Put 2 Energy attached to this Pokémon into your hand.",Lightning ×2,,2,PAL,Paldea Evolved,260,Special Illustration Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Quaquaval ex,Pokémon,"Stage 2,ex",320,Water,Quaxwell,,"[Water] Exciting Dance 60 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Water,Colorless] Spiral Shot 230 — Put 2 Energy attached to this Pokémon into your hand.",Lightning ×2,,2,PAL,Paldea Evolved,273,Hyper Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Quaquaval ex,Pokémon,"Stage 2,ex",320,Water,Quaxwell,,"[Water] Exciting Dance 60 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Water,Colorless] Spiral Shot 230 — Put 2 Energy attached to this Pokémon into your hand.",Lightning ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,35,Promo,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Quaquaval ex,Pokémon,"Stage 2,ex",320,Water,Quaxwell,,"[Water] Exciting Dance 60 — Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Water,Colorless] Spiral Shot 230 — Put 2 Energy attached to this Pokémon into your hand.",Lightning ×2,,2,PR-SV,Scarlet & Violet Black Star Promos,84,Promo,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
