name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Raboot,Pokémon,Stage 1,100,Fire,Scorbunny,,[Colorless] Jumping Kick — This attack does 40 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Water ×2,,1,MEG,Mega Evolution,27,Common,I,
Raboot,Pokémon,Stage 1,90,Fire,Scorbunny,,"[Fire] Low Sweep 30 | [Fire,Colorless,Colorless] Combustion 60",Water ×2,,1,ASC,Ascended Heroes,37,Common,H,
Raboot,Pokémon,Stage 1,90,Fire,Scorbunny,,"[Fire] Low Sweep 30 | [Fire,Colorless,Colorless] Combustion 60",Water ×2,,1,SCR,Stellar Crown,27,Common,H,
Raboot,Pokémon,Stage 1,90,Fire,Scorbunny,,"[Fire] Low Sweep 30 | [Fire,Colorless,Colorless] Combustion 60",Water ×2,,1,SCR,Stellar Crown,147,Illustration Rare,H,
Rabsca,Pokémon,Stage 1,70,Psychic,Rellor,,"[Colorless] Revival Blessing — Put a Pokémon from your discard pile onto your Bench. | [Psychic,Psychic] Psybeam 50 — Your opponent's Active Pokémon is now Confused.",Darkness ×2,Fighting -30,1,PAL,Paldea Evolved,99,Rare,G,
Rabsca,Pokémon,Stage 1,70,Psychic,Rellor,,"[Colorless] Revival Blessing — Put a Pokémon from your discard pile onto your Bench. | [Psychic,Psychic] Psybeam 50 — Your opponent's Active Pokémon is now Confused.",Darkness ×2,Fighting -30,1,PAL,Paldea Evolved,215,Illustration Rare,G,
Rabsca,Pokémon,Stage 1,70,Psychic,Rellor,,"[Colorless] Revival Blessing — Put a Pokémon from your discard pile onto your Bench. | [Psychic,Psychic] Psybeam 50 — Your opponent's Active Pokémon is now Confused.",Darkness ×2,Fighting -30,1,PAF,Paldean Fates,163,Shiny Rare,G,
Rabsca,Pokémon,Stage 1,70,Grass,Rellor,[Ability] Spherical Shield: Prevent all damage from and effects of attacks from your opponent's Pokémon done to your Benched Pokémon.,[Grass] Psychic 10+ — This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,Fire ×2,,1,TEF,Temporal Forces,24,Uncommon,H,
Rabsca,Pokémon,Stage 1,70,Grass,Rellor,,"[Colorless] Triple Draw — Draw 3 cards. | [Grass] Counterturn 40+ — If there are 3 or fewer cards in your deck, this attack does 200 more damage.",Fire ×2,,1,SSP,Surging Sparks,14,Rare,H,
Rabsca ex,Pokémon,"Stage 1,ex",250,Grass,Rellor,,"[Colorless] Upside-Down Draw — Draw 3 cards from the bottom of your deck. | [Grass,Colorless,Colorless] Psychic 20+ — This attack does 90 more damage for each Energy attached to your opponent's Active Pokémon.",Fire ×2,,1,DRI,Destined Rivals,25,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raging Bolt,Pokémon,"Basic,Ancient",130,Dragon,,,"[Lightning,Fighting] Thunderburst Storm — This attack does 30 damage to 1 of your opponent's Pokémon for each Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Fighting,Colorless] Dragon Headbutt 130",,,3,SCR,Stellar Crown,111,Rare,H,
Raging Bolt ex,Pokémon,"Basic,ex,Ancient",240,Dragon,,,"[Colorless] Burst Roar — Discard your hand and draw 6 cards. | [Lightning,Fighting] Bellowing Thunder 70× — You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.",,,3,TEF,Temporal Forces,123,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raging Bolt ex,Pokémon,"Basic,ex,Ancient",240,Dragon,,,"[Colorless] Burst Roar — Discard your hand and draw 6 cards. | [Lightning,Fighting] Bellowing Thunder 70× — You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.",,,3,TEF,Temporal Forces,196,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raging Bolt ex,Pokémon,"Basic,ex,Ancient",240,Dragon,,,"[Colorless] Burst Roar — Discard your hand and draw 6 cards. | [Lightning,Fighting] Bellowing Thunder 70× — You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.",,,3,TEF,Temporal Forces,208,Special Illustration Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raging Bolt ex,Pokémon,"Basic,ex,Ancient",240,Dragon,,,"[Colorless] Burst Roar — Discard your hand and draw 6 cards. | [Lightning,Fighting] Bellowing Thunder 70× — You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.",,,3,TEF,Temporal Forces,218,Hyper Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raging Bolt ex,Pokémon,"Basic,ex,Ancient",240,Dragon,,,"[Colorless] Burst Roar — Discard your hand and draw 6 cards. | [Lightning,Fighting] Bellowing Thunder 70× — You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.",,,3,PRE,Prismatic Evolutions,166,Special Illustration Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raging Bolt ex,Pokémon,"Basic,ex,Ancient",240,Dragon,,,"[Colorless] Burst Roar — Discard your hand and draw 6 cards. | [Lightning,Fighting] Bellowing Thunder 70× — You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.",,,3,PR-SV,Scarlet & Violet Black Star Promos,145,Promo,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Raichu,Pokémon,Stage 1,130,Lightning,Pikachu,,"[Lightning] Quick Blow 20+ — Flip a coin. If heads, this attack does 50 more damage. | [Lightning,Lightning,Colorless] Strong Volt 150 — Discard a Lightning Energy from this Pokémon.",Fighting ×2,,1,ASC,Ascended Heroes,56,Uncommon,J,
Raichu,Pokémon,Stage 1,140,Lightning,Pikachu,,"[Colorless] Electrocharge — Search your deck for up to 2 Basic Lightning Energy cards and attach them to this Pokémon. Then, shuffle your deck. | [Lightning,Lightning,Colorless] Thunderbolt 200 — Discard all Energy from this Pokémon.",Fighting ×2,,1,PAL,Paldea Evolved,64,Uncommon,G,
Raichu,Pokémon,Stage 1,140,Lightning,Pikachu,,"[Colorless] Electrocharge — Search your deck for up to 2 Basic Lightning Energy cards and attach them to this Pokémon. Then, shuffle your deck. | [Lightning,Lightning,Colorless] Thunderbolt 200 — Discard all Energy from this Pokémon.",Fighting ×2,,1,PAL,Paldea Evolved,211,Illustration Rare,G,
Raichu,Pokémon,Stage 1,120,Lightning,Pikachu,"[Ability] Electrical Grounding: When 1 of your Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, you may move a Lightning Energy from that Pokémon to this Pokémon.","[Lightning,Lightning,Colorless] Thunder 180 — This Pokémon also does 50 damage to itself.",Fighting ×2,,1,MEW,151,26,Rare,G,
Raichu,Pokémon,Stage 1,120,Lightning,Pikachu,"[Ability] Electrical Grounding: When 1 of your Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, you may move a Lightning Energy from that Pokémon to this Pokémon.","[Lightning,Lightning,Colorless] Thunder 180 — This Pokémon also does 50 damage to itself.",Fighting ×2,,1,PAF,Paldean Fates,19,Rare,G,
Raichu,Pokémon,Stage 1,120,Lightning,Pikachu,"[Ability] Electrical Grounding: When 1 of your Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, you may move a Lightning Energy from that Pokémon to this Pokémon.","[Lightning,Lightning,Colorless] Thunder 180 — This Pokémon also does 50 damage to itself.",Fighting ×2,,1,PAF,Paldean Fates,132,Shiny Rare,G,
Raichu,Pokémon,Stage 1,130,Lightning,Pikachu,,"[Lightning,Colorless] Collateral Bolts — This attack does 50 damage to each Pokémon that has any damage counters on it (both yours and your opponent's), except for this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) | [Lightning,Colorless,Colorless] Electric Ball 120",Fighting ×2,,1,TEF,Temporal Forces,52,Common,H,
Raikou,Pokémon,Basic,120,Lightning,,,"[Lightning,Lightning] Electro Fall 30+ — If you have at least 4 Lightning Energy in play, this attack does 90 more damage.",Fighting ×2,,1,MEG,Mega Evolution,48,Rare,I,
Ralts,Pokémon,Basic,70,Psychic,,,[Colorless] Collect — Draw a card. | [Psychic] Headbutt 10,Darkness ×2,Fighting -30,1,MEG,Mega Evolution,58,Common,I,
Ralts,Pokémon,Basic,70,Psychic,,,[Colorless] Collect — Draw a card. | [Psychic] Headbutt 10,Darkness ×2,Fighting -30,1,ASC,Ascended Heroes,87,Common,I,
Ralts,Pokémon,Basic,70,Psychic,,,"[Psychic,Colorless] Psyshot 30",Darkness ×2,Fighting -30,1,SVI,Scarlet & Violet,84,Common,G,
Ralts,Pokémon,Basic,70,Psychic,,,"[Psychic,Colorless] Psyshot 30",Darkness ×2,Fighting -30,1,SVI,Scarlet & Violet,211,Illustration Rare,G,
Ralts,Pokémon,Basic,70,Psychic,,,"[Psychic,Colorless] Psyshot 30",Darkness ×2,Fighting -30,1,PAF,Paldean Fates,27,Common,G,
Ralts,Pokémon,Basic,70,Psychic,,,"[Psychic,Colorless] Psyshot 30",Darkness ×2,Fighting -30,1,PAF,Paldean Fates,153,Shiny Rare,G,
Rapidash,Pokémon,Stage 1,110,Fire,Ponyta,"[Ability] Hurried Gait: Once during your turn, you may draw a card.","[Fire,Colorless] Fire Mane 60",Water ×2,,1,DRI,Destined Rivals,30,Uncommon,I,
Rapidash,Pokémon,Stage 1,110,Fire,Ponyta,"[Ability] Hurried Gait: Once during your turn, you may draw a card.","[Fire,Colorless] Fire Mane 60",Water ×2,,1,DRI,Destined Rivals,189,Illustration Rare,I,
Rapidash,Pokémon,Stage 1,100,Fire,Ponyta,,"[Fire] Singe — Your opponent's Active Pokémon is now Burned. | [Fire,Colorless,Colorless] Mach Turn 90 — Switch this Pokémon with 1 of your Benched Pokémon.",Water ×2,,1,MEW,151,78,Uncommon,G,
Rapidash,Pokémon,Stage 1,110,Fire,Ponyta,,"[Colorless] Combustion 20 | [Fire,Colorless] Inferno Onrush 120 — This Pokémon also does 30 damage to itself.",Water ×2,,0,TEF,Temporal Forces,27,Uncommon,H,
Rapidash,Pokémon,Stage 1,120,Fire,Ponyta,,"[Fire,Colorless] Burning Run 60+ — Flip a coin. If heads, this attack does 60 more damage.",Water ×2,,1,SCR,Stellar Crown,20,Uncommon,H,
Raticate,Pokémon,Stage 1,70,Colorless,Rattata,,"[Colorless,Colorless] Second Bite 30+ — This attack does 30 more damage for each damage counter on your opponent's Active Pokémon.",Fighting ×2,,0,MEW,151,20,Uncommon,G,
Rattata,Pokémon,Basic,40,Colorless,,,"[Colorless,Colorless] Gnaw the Wound 20+ — This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.",Fighting ×2,,1,MEW,151,19,Common,G,
Rayquaza,Pokémon,Basic,120,Dragon,,,"[Lightning,Colorless] Breakthrough Assault 20+ — If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 90 more damage. | [Fire,Lightning,Colorless] Dragon Claw 130",,,1,ASC,Ascended Heroes,153,Rare,I,
Regice,Pokémon,Basic,120,Water,,,"[Water,Colorless] Icicle 30 | [Water,Colorless,Colorless] Blizzard 90 — This attack also does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Metal ×2,,3,JTG,Journey Together,42,Uncommon,H,
Regice ex,Pokémon,"Basic,ex",230,Water,,,"[Colorless] Regi Charge — Attach up to 2 Basic Water Energy cards from your discard pile to this Pokémon. | [Water,Colorless,Colorless,Colorless] Ice Prison 140 — Discard 2 Energy from this Pokémon, and your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,3,ASC,Ascended Heroes,48,Double Rare,J,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Regigigas,Pokémon,Basic,160,Colorless,,,"[Colorless,Colorless,Colorless,Colorless] Jewel Breaker 100+ — If your opponent's Active Pokémon is a Tera Pokémon, this attack does 230 more damage.",Fighting ×2,,4,PRE,Prismatic Evolutions,86,Uncommon,H,
