name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Skwovet,Pokémon,Basic,60,Colorless,,"[Ability] Nest Stash: Once during your turn, you may shuffle your hand and put it on the bottom of your deck. If you put any cards on the bottom of your deck in this way, draw a card.","[Colorless,Colorless] Bite 20",Fighting ×2,,1,PAF,Paldean Fates,205,Shiny Rare,G,
Skwovet,Pokémon,Basic,60,Colorless,,,"[Colorless] Collect — Draw a card. | [Colorless,Colorless] Gnaw 20",Fighting ×2,,1,JTG,Journey Together,131,Common,H,
Slaking,Pokémon,Stage 2,180,Colorless,Vigoroth,"[Ability] Stir and Snooze: If this Pokémon is Asleep, flip 2 coins instead of 1 during Pokémon Checkup. If either of them is tails, this Pokémon is still Asleep.","[Colorless,Colorless,Colorless] Slacker's Headstrike 240 — This Pokémon is now Asleep.",Fighting ×2,,4,PAL,Paldea Evolved,162,Rare,G,
Slaking ex,Pokémon,"Stage 2,ex",340,Colorless,Vigoroth,"[Ability] Born to Slack: If your opponent has no Pokémon ex or Pokémon V in play, this Pokémon can't attack.","[Colorless,Colorless] Great Swing 280 — Discard an Energy from this Pokémon.",Fighting ×2,,4,SSP,Surging Sparks,147,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Slaking ex,Pokémon,"Stage 2,ex",340,Colorless,Vigoroth,"[Ability] Born to Slack: If your opponent has no Pokémon ex or Pokémon V in play, this Pokémon can't attack.","[Colorless,Colorless] Great Swing 280 — Discard an Energy from this Pokémon.",Fighting ×2,,4,SSP,Surging Sparks,227,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Slakoth,Pokémon,Basic,70,Colorless,,,"[Colorless,Colorless] Yawn — Your opponent's Active Pokémon is now Asleep.",Fighting ×2,,2,PAL,Paldea Evolved,160,Common,G,
Slakoth,Pokémon,Basic,60,Colorless,,,"[Colorless] Take It Easy — Heal 60 damage from this Pokémon. During your next turn, this Pokémon can't retreat.",Fighting ×2,,2,SSP,Surging Sparks,145,Common,H,
Slakoth,Pokémon,Basic,60,Colorless,,,"[Colorless] Take It Easy — Heal 60 damage from this Pokémon. During your next turn, this Pokémon can't retreat.",Fighting ×2,,2,SSP,Surging Sparks,212,Illustration Rare,H,
Slither Wing,Pokémon,"Basic,Ancient",140,Fighting,,,"[Fighting] Stomp Off — Discard the top card of your opponent's deck. | [Fighting,Fighting] Burning Turbulence 120 — This Pokémon also does 90 damage to itself. Your opponent's Active Pokémon is now Burned.",Psychic ×2,,3,PAR,Paradox Rift,107,Uncommon,G,
Slither Wing,Pokémon,"Basic,Ancient",140,Fighting,,,"[Fighting] Stomp Off — Discard the top card of your opponent's deck. | [Fighting,Fighting] Burning Turbulence 120 — This Pokémon also does 90 damage to itself. Your opponent's Active Pokémon is now Burned.",Psychic ×2,,3,PAR,Paradox Rift,203,Illustration Rare,G,
Slither Wing,Pokémon,"Basic,Ancient",140,Fighting,,,"[Fighting,Colorless] Iron Smasher 20+ — If your opponent has any Future Pokémon in play, this attack does 120 more damage. | [Fighting,Fighting,Colorless] Smashing Wing 130 — Discard 2 Energy from this Pokémon.",Psychic ×2,,3,SFA,Shrouded Fable,26,Uncommon,H,
Slowbro,Pokémon,Stage 1,100,Water,Slowpoke,"[Ability] Strange Behavior: As often as you like during your turn, you may move 1 damage counter from 1 of your other Pokémon to this Pokémon.","[Water,Colorless] Bubble Drain 60 — Heal 30 damage from this Pokémon.",Lightning ×2,,3,SVI,Scarlet & Violet,43,Rare,G,
Slowbro,Pokémon,Stage 1,130,Psychic,Slowpoke,,"[Psychic] Big Yawn — Both Active Pokémon are now Asleep. | [Psychic,Colorless,Colorless] Laid-Back Tackle 160 — If this Pokémon evolved during this turn, this attack does nothing.",Darkness ×2,Fighting -30,2,MEW,151,80,Uncommon,G,
Slowbro,Pokémon,Stage 1,100,Water,Slowpoke,"[Ability] Strange Behavior: As often as you like during your turn, you may move 1 damage counter from 1 of your other Pokémon to this Pokémon.","[Water,Colorless] Bubble Drain 60 — Heal 30 damage from this Pokémon.",Lightning ×2,,3,PAF,Paldean Fates,117,Shiny Rare,G,
Slowking,Pokémon,Stage 1,120,Psychic,Slowpoke,,"[Psychic,Colorless] Seek Inspiration — Discard the top card of your deck, and if that card is a Pokémon that doesn't have a Rule Box, choose 1 of its attacks and use it as this attack. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | [Psychic,Psychic,Colorless] Super Psy Bolt 120",Darkness ×2,Fighting -30,3,SCR,Stellar Crown,58,Uncommon,H,
Slowking,Pokémon,Stage 1,130,Water,Slowpoke,,"[Water,Colorless,Colorless] Wash the Slate Clean 70 — You may put 2 Energy attached to your opponent's Active Pokémon into their hand.",Lightning ×2,,2,PRE,Prismatic Evolutions,19,Uncommon,H,
Slowking ex,Pokémon,"Stage 1,Tera,ex",270,Psychic,Slowpoke,,"[Psychic] Profound Knowledge 30 — Your opponent's Active Pokémon is now Confused. | [Psychic,Psychic] Wise Headbutt 130 — You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",Darkness ×2,Fighting -30,3,PAL,Paldea Evolved,86,Double Rare,G,"Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's). | Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Slowking ex,Pokémon,"Stage 1,Tera,ex",270,Psychic,Slowpoke,,"[Psychic] Profound Knowledge 30 — Your opponent's Active Pokémon is now Confused. | [Psychic,Psychic] Wise Headbutt 130 — You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",Darkness ×2,Fighting -30,3,PAL,Paldea Evolved,238,Ultra Rare,G,"Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's). | Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Slowpoke,Pokémon,Basic,70,Water,,,"[Colorless] Rest — This Pokémon is now Asleep. Heal 30 damage from it. | [Water,Colorless] Headbutt 20",Lightning ×2,,2,SVI,Scarlet & Violet,42,Common,G,
Slowpoke,Pokémon,Basic,70,Water,,,"[Colorless] Rest — This Pokémon is now Asleep. Heal 30 damage from it. | [Water,Colorless] Headbutt 20",Lightning ×2,,2,SVI,Scarlet & Violet,204,Illustration Rare,G,
Slowpoke,Pokémon,Basic,80,Psychic,,,"[Psychic] Tail-Fishing — Flip a coin. If heads, search your deck for a card and put it into your hand. Then, shuffle your deck. If tails, discard a card from your hand. | [Psychic,Psychic] Zen Headbutt 30",Darkness ×2,Fighting -30,3,PAL,Paldea Evolved,85,Common,G,
Slowpoke,Pokémon,Basic,80,Psychic,,,"[Psychic] Sea Bathing — Heal 30 damage from this Pokémon, and it recovers from all Special Conditions. | [Colorless,Colorless] Headbutt 20",Darkness ×2,Fighting -30,2,MEW,151,79,Common,G,
Slowpoke,Pokémon,Basic,70,Water,,,"[Colorless] Rest — This Pokémon is now Asleep. Heal 30 damage from it. | [Water,Colorless] Headbutt 20",Lightning ×2,,2,PAF,Paldean Fates,116,Shiny Rare,G,
Slowpoke,Pokémon,Basic,80,Psychic,,,"[Colorless] Dangle Tail — Put a Pokémon from your discard pile into your hand. | [Psychic,Colorless] Tackle 30",Darkness ×2,Fighting -30,2,SCR,Stellar Crown,57,Common,H,
Slowpoke,Pokémon,Basic,70,Water,,,"[Water] Water Gun 10 | [Water,Colorless] Tail Whap 30",Lightning ×2,,2,PRE,Prismatic Evolutions,18,Common,H,
Slugma,Pokémon,Basic,80,Fire,,,"[Fire] Roasting Heat 10+ — If your opponent's Active Pokémon is Burned, this attack does 40 more damage.",Water ×2,,2,TEF,Temporal Forces,28,Common,H,
Slugma,Pokémon,Basic,80,Fire,,,"[Fire,Colorless] Hot Magma 20 — Your opponent's Active Pokémon is now Burned.",Water ×2,,3,TWM,Twilight Masquerade,28,Common,H,
Slurpuff,Pokémon,Stage 1,120,Psychic,Swirlix,,"[Psychic] Tackle 40 | [Psychic,Colorless] Magical Shot 70",Metal ×2,,2,ASC,Ascended Heroes,94,Uncommon,J,
Slurpuff,Pokémon,Stage 1,120,Psychic,Swirlix,,"[Psychic] Tackle 40 | [Psychic,Colorless] Magical Shot 70",Metal ×2,,2,ASC,Ascended Heroes,236,Illustration Rare,J,
Slurpuff,Pokémon,Stage 1,120,Psychic,Swirlix,,"[Psychic,Colorless] Slurp Slurp 90× — Flip 2 coins. This attack does 90 damage for each heads. If both of them are tails,  your opponent's Active Pokémon is now Confused.",Metal ×2,,2,TWM,Twilight Masquerade,90,Uncommon,H,
