name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Tadbulb,Pokémon,Basic,50,Lightning,,,"[Lightning] Thunder Wave 10 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fighting ×2,,1,PAL,Paldea Evolved,77,Common,G,
Tadbulb,Pokémon,Basic,60,Lightning,,,"[Colorless] Stampede 10 | [Lightning,Lightning] Static Shock 30",Fighting ×2,,1,PAL,Paldea Evolved,78,Common,G,
Tadbulb,Pokémon,Basic,50,Lightning,,,"[Lightning] Energize — Attach a Basic Lightning Energy card from your discard pile to this Pokémon. | [Lightning,Colorless,Colorless] Lightning Ball 30",Fighting ×2,,1,OBF,Obsidian Flames,74,Common,G,
Tadbulb,Pokémon,Basic,60,Lightning,,,"[Lightning,Colorless] Thunder Jolt 40 — This Pokémon also does 10 damage to itself.",Fighting ×2,,1,OBF,Obsidian Flames,75,Common,G,
Tadbulb,Pokémon,Basic,60,Lightning,,,"[Lightning,Colorless] Shake and Discharge 20 — This attack also does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting ×2,,2,OBF,Obsidian Flames,76,Common,G,
Tadbulb,Pokémon,Basic,50,Lightning,,,"[Colorless] Tackle 10 | [Lightning,Colorless] Electro Ball 20",Fighting ×2,,1,TWM,Twilight Masquerade,73,Common,H,
Taillow,Pokémon,Basic,60,Colorless,,,[Colorless] Wing Attack 20,Lightning ×2,Fighting -30,1,DRI,Destined Rivals,156,Common,I,
Talonflame,Pokémon,Stage 2,150,Fire,Fletchinder,,"[Fire] Clutch 50 — During your opponent's next turn, the Defending Pokémon can't retreat. | [Fire] Fiery Breeze 70+ — If this Pokémon has any damage counters on it, this attack does 90 more damage.",Lightning ×2,Fighting -30,1,PAL,Paldea Evolved,30,Uncommon,G,
Talonflame,Pokémon,Stage 2,140,Colorless,Fletchinder,,"[Colorless,Colorless] Aero Chase 110+ — If the Retreat Cost of your opponent's Active Pokémon is ColorlessColorless or more, this attack does 110 more damage.",Lightning ×2,Fighting -30,0,SCR,Stellar Crown,123,Uncommon,H,
Tandemaus,Pokémon,Basic,30,Colorless,,,[Colorless] Gnaw 20,Fighting ×2,,1,SVI,Scarlet & Violet,159,Common,G,
Tandemaus,Pokémon,Basic,40,Colorless,,,"[Colorless,Colorless] Double Hit 30× — Flip 2 coins. This attack does 30 damage for each heads.",Fighting ×2,,1,SVI,Scarlet & Violet,160,Common,G,
Tandemaus,Pokémon,Basic,30,Colorless,,,"[Colorless] Collect — Draw 2 cards. | [Colorless,Colorless,Colorless] Gentle Slap 30",Fighting ×2,,1,PAL,Paldea Evolved,166,Common,G,
Tandemaus,Pokémon,Basic,40,Colorless,,,"[Colorless] Attach 10 | [Colorless,Colorless] Smash Kick 20",Fighting ×2,,1,PAL,Paldea Evolved,167,Common,G,
Tandemaus,Pokémon,Basic,30,Colorless,,,[Colorless] Damage Rush 10× — Flip a coin until you get tails. This attack does 10 damage for each heads.,Fighting ×2,,0,PAR,Paradox Rift,153,Common,G,
Tandemaus,Pokémon,Basic,40,Colorless,,,"[Colorless,Colorless] Tumble Over 40 — During your next turn, this Pokémon can't attack.",Fighting ×2,,1,PAR,Paradox Rift,154,Common,G,
Tandemaus,Pokémon,Basic,30,Colorless,,,"[Colorless] Collect — Draw 2 cards. | [Colorless,Colorless,Colorless] Gentle Slap 30",Fighting ×2,,1,PAF,Paldean Fates,73,Common,G,
Tandemaus,Pokémon,Basic,30,Colorless,,,"[Colorless] Collect — Draw 2 cards. | [Colorless,Colorless,Colorless] Gentle Slap 30",Fighting ×2,,1,PAF,Paldean Fates,209,Shiny Rare,G,
Tandemaus,Pokémon,Basic,40,Colorless,,,"[Colorless] Play Rough 10+ — Flip a coin. If heads, this attack does 10 more damage.",Fighting ×2,,1,SSP,Surging Sparks,157,Common,H,
Tangela,Pokémon,Basic,80,Grass,,,"[Grass] Poison Powder — Your opponent's Active Pokémon is now Poisoned. | [Grass,Colorless,Colorless] Hook 30",Fire ×2,,2,MEG,Mega Evolution,6,Common,I,
Tangela,Pokémon,Basic,80,Grass,,,"[Grass] Tactful Tangling 10+ — If you played Erika's Invitation from your hand during this turn, this attack does 60 more damage.",Fire ×2,,2,MEW,151,114,Common,G,
Tangela,Pokémon,Basic,80,Grass,,,"[Grass] Tactful Tangling 10+ — If you played Erika's Invitation from your hand during this turn, this attack does 60 more damage.",Fire ×2,,2,MEW,151,178,Illustration Rare,G,
Tangela,Pokémon,Basic,80,Grass,,,"[Colorless] Gentle Slap 10 | [Grass,Colorless] Vine Slap 30",Fire ×2,,2,TWM,Twilight Masquerade,1,Common,H,
Tangrowth,Pokémon,Stage 1,150,Grass,Tangela,,"[Grass,Colorless] Absorb 30 — Heal 30 damage from this Pokémon. | [Grass,Grass,Colorless,Colorless] Pumped-Up Whip 120+ — If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 140 more damage.",Fire ×2,,4,MEG,Mega Evolution,7,Uncommon,I,
Tangrowth,Pokémon,Stage 1,150,Grass,Tangela,[Ability] Thicket Body: This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).,"[Grass,Colorless,Colorless] Loom Over 150- — This attack does 10 less damage for each damage counter on this Pokémon.",Fire ×2,,4,TWM,Twilight Masquerade,2,Common,H,
Tapu Bulu,Pokémon,Basic,140,Grass,,,"[Grass,Grass,Colorless,Colorless] Wood Hammer 220 — This Pokémon also does 30 damage to itself.",Fire ×2,,3,SFA,Shrouded Fable,6,Rare,H,
Tapu Bulu,Pokémon,Basic,140,Grass,,,"[Grass,Grass,Colorless,Colorless] Wood Hammer 220 — This Pokémon also does 30 damage to itself.",Fire ×2,,3,SFA,Shrouded Fable,65,Illustration Rare,H,
Tapu Koko,Pokémon,Basic,120,Lightning,,,"[Lightning] Fast Flight — If you go first, you can use this attack during your first turn. Discard your hand and draw 5 cards. | [Lightning,Lightning,Colorless] Thunder Blast 130 — Discard 2 Energy from this Pokémon.",Fighting ×2,,1,ASC,Ascended Heroes,67,Rare,I,
Tapu Koko,Pokémon,Basic,120,Lightning,,,"[Colorless] Summon Lightning — Search your deck for up to 2 Lightning Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | [Lightning,Lightning,Colorless] Prize Count 90+ — If you have more Prize cards remaining than your opponent, this attack does 90 more damage.",Fighting ×2,,1,SSP,Surging Sparks,65,Rare,H,
Tapu Koko ex,Pokémon,"Basic,ex",210,Lightning,,,"[Lightning,Colorless] Vengeful Shock 30+ — If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 90 more damage, and your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Colorless] Extreme Current 180 — Discard an Energy from this Pokémon.",Fighting ×2,,1,PAR,Paradox Rift,68,Double Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Tapu Koko ex,Pokémon,"Basic,ex",210,Lightning,,,"[Lightning,Colorless] Vengeful Shock 30+ — If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 90 more damage, and your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Colorless] Extreme Current 180 — Discard an Energy from this Pokémon.",Fighting ×2,,1,PAR,Paradox Rift,222,Ultra Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Tapu Koko ex,Pokémon,"Basic,ex",210,Lightning,,,"[Lightning,Colorless] Vengeful Shock 30+ — If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 90 more damage, and your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Colorless] Extreme Current 180 — Discard an Energy from this Pokémon.",Fighting ×2,,1,PAR,Paradox Rift,247,Special Illustration Rare,G,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Tapu Koko ex,Pokémon,"Basic,ex",200,Lightning,,,"[Lightning,Colorless] Linked Lightning 60+ — This attack does 20 more damage for each of your Benched Pokémon.",Fighting ×2,,0,JTG,Journey Together,51,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Tapu Lele,Pokémon,Basic,110,Psychic,,,"[Colorless,Colorless] Perplex 20 — Your opponent's Active Pokémon is now Confused. | [Psychic,Colorless,Colorless] Mental Crush 90+ — If your opponent's Active Pokémon is Confused, this attack does 90 more damage.",Metal ×2,,1,SSP,Surging Sparks,92,Rare,H,
Tarountula,Pokémon,Basic,40,Grass,,,"[Colorless] String Haul — Flip a coin. If heads, switch in 1 of your opponent's Benched Pokémon to the Active Spot. | [Grass] Bug Bite 10",Fire ×2,,1,SVI,Scarlet & Violet,16,Common,G,
Tarountula,Pokémon,Basic,40,Grass,,,"[Grass,Colorless] String Shot 20 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire ×2,,1,SVI,Scarlet & Violet,17,Common,G,
Tarountula,Pokémon,Basic,60,Grass,,,"[Grass] Surprise Attack 30 — Flip a coin. If tails, this attack does nothing.",Fire ×2,,2,SVI,Scarlet & Violet,18,Common,G,
Tarountula,Pokémon,Basic,40,Grass,,,"[Grass,Colorless] String Shot 20 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire ×2,,1,SVI,Scarlet & Violet,199,Illustration Rare,G,
Tarountula,Pokémon,Basic,50,Grass,,,"[Grass] Bind Down 10 — During your opponent's next turn, the Defending Pokémon can't retreat.",Fire ×2,,1,PAL,Paldea Evolved,16,Common,G,
