name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Vanillish,Pokémon,Stage 1,90,Water,Vanillite,,"[Colorless,Colorless] Ram 30 | [Water,Colorless,Colorless] Ice Beam 50 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,2,WHT,White Flare,28,Common,I,
Vanillish,Pokémon,Stage 1,90,Water,Vanillite,,"[Colorless,Colorless] Ram 30 | [Water,Colorless,Colorless] Ice Beam 50 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,2,WHT,White Flare,112,Illustration Rare,I,
Vanillish,Pokémon,Stage 1,90,Water,Vanillite,,"[Water,Water] Frost Smash 60",Metal ×2,,2,PAR,Paradox Rift,44,Common,G,
Vanillish,Pokémon,Stage 1,90,Water,Vanillite,,"[Water,Water] Frost Smash 60",Metal ×2,,2,PAR,Paradox Rift,190,Illustration Rare,G,
Vanillite,Pokémon,Basic,60,Water,,,"[Colorless] Beat 10 | [Water,Colorless] Ice Edge 20+ — Flip a coin. If heads, this attack does 20 more damage.",Metal ×2,,1,WHT,White Flare,27,Common,I,
Vanillite,Pokémon,Basic,60,Water,,,"[Colorless] Beat 10 | [Water,Colorless] Ice Edge 20+ — Flip a coin. If heads, this attack does 20 more damage.",Metal ×2,,1,WHT,White Flare,111,Illustration Rare,I,
Vanillite,Pokémon,Basic,60,Water,,,"[Water,Water] Chilly 40",Metal ×2,,1,PAR,Paradox Rift,43,Common,G,
Vanilluxe,Pokémon,Stage 2,150,Water,Vanillish,,"[Colorless,Colorless] Ram 60 | [Water,Colorless,Colorless] Double Freeze 90× — Flip 2 coins. This attack does 90 damage for each heads. If either of them is heads, your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,2,WHT,White Flare,29,Uncommon,I,
Vanilluxe,Pokémon,Stage 2,150,Water,Vanillish,,"[Colorless,Colorless] Ram 60 | [Water,Colorless,Colorless] Double Freeze 90× — Flip 2 coins. This attack does 90 damage for each heads. If either of them is heads, your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,2,WHT,White Flare,113,Illustration Rare,I,
Vanilluxe,Pokémon,Stage 2,150,Water,Vanillish,[Ability] Frigid Room: Your opponent's Pokémon that have 40 HP or less remaining can't attack.,"[Water,Water] Icicle Missile 110",Metal ×2,,2,PAR,Paradox Rift,45,Uncommon,G,
Vaporeon,Pokémon,Stage 1,130,Water,Eevee,,"[Water] Spiral Drain 30 — Heal 30 damage from this Pokémon. | [Water,Colorless,Colorless] Fighting Whirlpool 90+ — If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.",Lightning ×2,,2,MEW,151,134,Rare,G,
