name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Wailmer,Pokémon,Basic,130,Water,,,"[Colorless,Colorless,Colorless] Surf 60",Lightning ×2,,3,JTG,Journey Together,40,Common,I,
Wailord,Pokémon,Stage 1,240,Water,Wailmer,,"[Colorless,Colorless,Colorless,Colorless] Hydro Pump 10+ — This attack does 50 more damage for each Water Energy attached to this Pokémon.",Lightning ×2,,4,JTG,Journey Together,41,Rare,I,
Wailord,Pokémon,Stage 1,240,Water,Wailmer,,"[Colorless,Colorless,Colorless,Colorless] Hydro Pump 10+ — This attack does 50 more damage for each Water Energy attached to this Pokémon.",Lightning ×2,,4,JTG,Journey Together,162,Illustration Rare,I,
Walking Wake,Pokémon,"Basic,Ancient",130,Water,,,"[Water] Aurora Gain 20 — Heal 20 damage from this Pokémon. | [Water,Water,Colorless] Undulating Slice 20× — Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.",Lightning ×2,,1,TWM,Twilight Masquerade,63,Rare,H,
Walking Wake ex,Pokémon,"Basic,ex,Ancient",220,Water,,[Ability] Azure Seas: Damage from attacks used by this Pokémon isn't affected by any effects on your opponent's Active Pokémon.,"[Water,Colorless,Colorless] Catharsis Roar 120+ — If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",Lightning ×2,,1,TEF,Temporal Forces,50,Double Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Walking Wake ex,Pokémon,"Basic,ex,Ancient",220,Water,,[Ability] Azure Seas: Damage from attacks used by this Pokémon isn't affected by any effects on your opponent's Active Pokémon.,"[Water,Colorless,Colorless] Catharsis Roar 120+ — If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",Lightning ×2,,1,TEF,Temporal Forces,189,Ultra Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Walking Wake ex,Pokémon,"Basic,ex,Ancient",220,Water,,[Ability] Azure Seas: Damage from attacks used by this Pokémon isn't affected by any effects on your opponent's Active Pokémon.,"[Water,Colorless,Colorless] Catharsis Roar 120+ — If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",Lightning ×2,,1,TEF,Temporal Forces,205,Special Illustration Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Walking Wake ex,Pokémon,"Basic,ex,Ancient",220,Water,,[Ability] Azure Seas: Damage from attacks used by this Pokémon isn't affected by any effects on your opponent's Active Pokémon.,"[Water,Colorless,Colorless] Catharsis Roar 120+ — If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",Lightning ×2,,1,TEF,Temporal Forces,215,Hyper Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Walking Wake ex,Pokémon,"Basic,ex,Ancient",220,Water,,[Ability] Azure Seas: Damage from attacks used by this Pokémon isn't affected by any effects on your opponent's Active Pokémon.,"[Water,Colorless,Colorless] Catharsis Roar 120+ — If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",Lightning ×2,,1,PRE,Prismatic Evolutions,178,Hyper Rare,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Walking Wake ex,Pokémon,"Basic,ex,Ancient",220,Water,,[Ability] Azure Seas: Damage from attacks used by this Pokémon isn't affected by any effects on your opponent's Active Pokémon.,"[Water,Colorless,Colorless] Catharsis Roar 120+ — If your opponent's Active Pokémon is affected by a Special Condition, this attack does 120 more damage.",Lightning ×2,,1,PR-SV,Scarlet & Violet Black Star Promos,127,Promo,H,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Walrein,Pokémon,Stage 2,170,Water,Sealeo,,"[Water] Frigid Fangs 60 — During your opponent's next turn, Pokémon that have 2 or less Energy attached can't attack. (This includes new Pokémon that come into play.) | [Water,Water] Megaton Fall 170 — This Pokémon also does 50 damage to itself.",Metal ×2,,3,SSP,Surging Sparks,45,Uncommon,H,
Wartortle,Pokémon,Stage 1,100,Water,Squirtle,,"[Water] Free Diving — Put up to 3 Basic Water Energy cards from your discard pile into your hand. | [Water,Water] Spinning Attack 50",Lightning ×2,,2,MEW,151,8,Uncommon,G,
Wartortle,Pokémon,Stage 1,100,Water,Squirtle,,"[Water] Free Diving — Put up to 3 Basic Water Energy cards from your discard pile into your hand. | [Water,Water] Spinning Attack 50",Lightning ×2,,2,MEW,151,171,Illustration Rare,G,
Wash Rotom,Pokémon,Basic,80,Water,,,"[Water] Manual Wash 20 — Heal 10 damage from each of your Pokémon. | [Colorless,Colorless] Gadget Show 30× — This attack does 30 damage for each Pokémon Tool attached to all of your Pokémon.",Lightning ×2,,2,DRI,Destined Rivals,61,Common,I,
Watchog,Pokémon,Stage 1,90,Colorless,Patrat,,"[Colorless] Focus Energy — During your next turn, this Pokémon's Hyper Fang attack's base damage is 240. | [Colorless] Hyper Fang 80 — Flip a coin. If tails, this attack does nothing.",Fighting ×2,,1,WHT,White Flare,73,Uncommon,I,
Watchog,Pokémon,Stage 1,90,Colorless,Patrat,,"[Colorless] Focus Energy — During your next turn, this Pokémon's Hyper Fang attack's base damage is 240. | [Colorless] Hyper Fang 80 — Flip a coin. If tails, this attack does nothing.",Fighting ×2,,1,WHT,White Flare,153,Illustration Rare,I,
Wattrel,Pokémon,Basic,50,Lightning,,,"[Colorless] Collect — Draw a card. | [Lightning,Colorless] Glide 20",Lightning ×2,Fighting -30,1,SVI,Scarlet & Violet,77,Common,G,
Wattrel,Pokémon,Basic,60,Lightning,,,[Lightning] Static Shock 20,Lightning ×2,Fighting -30,1,SVI,Scarlet & Violet,78,Common,G,
Wattrel,Pokémon,Basic,60,Lightning,,,"[Colorless] Peck 10 | [Colorless,Colorless] United Wings 20× — This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.",Lightning ×2,Fighting -30,1,PAL,Paldea Evolved,80,Common,G,
Wattrel,Pokémon,Basic,60,Lightning,,,"[Colorless] Devastating Wind — Your opponent shuffles their hand into their deck and draws 4 cards. | [Colorless,Colorless,Colorless] Flap 40",Lightning ×2,Fighting -30,1,PAL,Paldea Evolved,81,Common,G,
Wattrel,Pokémon,Basic,60,Lightning,,,"[Colorless] Peck 10 | [Colorless,Colorless] United Wings 20× — This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.",Lightning ×2,Fighting -30,1,PAF,Paldean Fates,145,Shiny Rare,G,
Wattrel,Pokémon,Basic,60,Lightning,,,"[Lightning] Thunder Shock 10 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Lightning ×2,Fighting -30,1,TWM,Twilight Masquerade,75,Common,H,
Wattrel,Pokémon,Basic,60,Lightning,,,"[Lightning] Thunder Shock 10 — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Lightning ×2,Fighting -30,1,TWM,Twilight Masquerade,178,Illustration Rare,H,
Wattrel,Pokémon,Basic,60,Lightning,,,"[Lightning] Aerial Ace 10+ — Flip a coin. If heads, this attack does 20 more damage.",Lightning ×2,Fighting -30,1,SSP,Surging Sparks,66,Common,H,
Weavile,Pokémon,Stage 1,100,Water,Sneasel,,"[Water] Slash 40 | [Water,Water] Hail Claw 70 — Discard all Energy from this Pokémon. Your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,1,ASC,Ascended Heroes,45,Uncommon,H,
Weavile,Pokémon,Stage 1,100,Water,Sneasel,,"[Water] Slash 40 | [Water,Water] Hail Claw 70 — Discard all Energy from this Pokémon. Your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,1,ASC,Ascended Heroes,228,Illustration Rare,H,
Weavile,Pokémon,Stage 1,110,Darkness,Sneasel,"[Ability] Assaulting Hunt: Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may switch in 1 of your opponent's Benched Basic Pokémon to the Active Spot.","[Darkness,Colorless] Slashing Claw 70",Grass ×2,,1,PAL,Paldea Evolved,134,Rare,G,
Weavile,Pokémon,Stage 1,110,Darkness,Sneasel,"[Ability] Assaulting Hunt: Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may switch in 1 of your opponent's Benched Basic Pokémon to the Active Spot.","[Darkness,Colorless] Slashing Claw 70",Grass ×2,,1,PAF,Paldean Fates,183,Shiny Rare,G,
Weavile,Pokémon,Stage 1,100,Water,Sneasel,,"[Water] Slash 40 | [Water,Water] Hail Claw 70 — Discard all Energy from this Pokémon. Your opponent's Active Pokémon is now Paralyzed.",Metal ×2,,1,SFA,Shrouded Fable,14,Uncommon,H,
Weedle,Pokémon,Basic,50,Grass,,,"[Grass] Ram 10 | [Colorless,Colorless] Bug Bite 20",Fire ×2,,1,MEW,151,13,Common,G,
Weepinbell,Pokémon,Stage 1,90,Grass,Bellsprout,,"[Grass] Cut 30 | [Grass,Colorless] Spray Fluid 50",Fire ×2,,2,MEW,151,70,Common,G,
Weezing,Pokémon,Stage 1,110,Darkness,Koffing,"[Ability] Let's Have a Blast: If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, flip a coin. If heads, the Attacking Pokémon is Knocked Out.","[Colorless,Colorless] Spinning Fumes 50 — This attack also does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting ×2,,2,MEW,151,110,Rare,G,
Weezing,Pokémon,Stage 1,130,Darkness,Koffing,,"[Darkness] Pervasive Gas 30 — Your opponent's Active Pokémon is now Confused. | [Darkness,Colorless] Crazy Blast 50+ — If this Pokémon used Pervasive Gas during your last turn, this attack does 120 more damage.",Fighting ×2,,2,JTG,Journey Together,92,Uncommon,I,
Wellspring Mask Ogerpon,Pokémon,Basic,110,Water,,,"[Colorless] Water Kagura — Search your deck for a Basic Water Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck. | [Water,Water,Colorless] Bubble Drain 100 — Heal 30 damage from this Pokémon.",Lightning ×2,,1,DRI,Destined Rivals,67,Uncommon,I,
Wellspring Mask Ogerpon ex,Pokémon,"Basic,Tera,ex",210,Water,,,"[Colorless] Sob 20 — During your opponent's next turn, the Defending Pokémon can't retreat. | [Water,Colorless,Colorless] Torrential Pump 100 — You may shuffle 3 Energy attached to this Pokémon into your deck. If you do, this attack also does 120 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning ×2,,1,TWM,Twilight Masquerade,64,Double Rare,H,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's). | Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's)."
Wellspring Mask Ogerpon ex,Pokémon,"Basic,Tera,ex",210,Water,,,"[Colorless] Sob 20 — During your opponent's next turn, the Defending Pokémon can't retreat. | [Water,Colorless,Colorless] Torrential Pump 100 — You may shuffle 3 Energy attached to this Pokémon into your deck. If you do, this attack also does 120 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning ×2,,1,TWM,Twilight Masquerade,194,Ultra Rare,H,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's). | Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's)."
Wellspring Mask Ogerpon ex,Pokémon,"Basic,Tera,ex",210,Water,,,"[Colorless] Sob 20 — During your opponent's next turn, the Defending Pokémon can't retreat. | [Water,Colorless,Colorless] Torrential Pump 100 — You may shuffle 3 Energy attached to this Pokémon into your deck. If you do, this attack also does 120 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning ×2,,1,TWM,Twilight Masquerade,213,Special Illustration Rare,H,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's). | Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards. | Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's)."
