name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Yamask,Pokémon,Basic,70,Psychic,,,"[Psychic,Colorless] Focused Wish 20+ — Flip a coin. If heads, this attack does 20 more damage.",Darkness ×2,Fighting -30,2,WHT,White Flare,39,Common,I,
Yamask,Pokémon,Basic,70,Psychic,,,"[Psychic,Colorless] Focused Wish 20+ — Flip a coin. If heads, this attack does 20 more damage.",Darkness ×2,Fighting -30,2,WHT,White Flare,122,Illustration Rare,I,
Yamask,Pokémon,Basic,70,Psychic,,,"[Psychic,Psychic] Ominous Eyes — Put 3 damage counters on 1 of your opponent's Pokémon.",Darkness ×2,Fighting -30,2,PAR,Paradox Rift,75,Common,G,
Yamask,Pokémon,Basic,70,Psychic,,,"[Psychic,Psychic] Ominous Eyes — Put 3 damage counters on 1 of your opponent's Pokémon.",Darkness ×2,Fighting -30,2,SCR,Stellar Crown,62,Common,G,
Yamask,Pokémon,Basic,70,Psychic,,,"[Psychic] Mumble 10 | [Psychic,Colorless] Petty Grudge 20",Darkness ×2,Fighting -30,2,SSP,Surging Sparks,82,Common,H,
Yamper,Pokémon,Basic,70,Lightning,,,"[Lightning,Colorless] Play Rough 20+ — Flip a coin. If heads, this attack does 20 more damage.",Fighting ×2,,1,PFL,Phantasmal Flames,30,Common,I,
Yamper,Pokémon,Basic,70,Lightning,,,"[Lightning,Colorless] Play Rough 20+ — Flip a coin. If heads, this attack does 20 more damage.",Fighting ×2,,1,PFL,Phantasmal Flames,99,Illustration Rare,I,
Yamper,Pokémon,Basic,70,Lightning,,,"[Colorless] Whimsy Tackle 20 — Flip a coin. If tails, this attack does nothing.",Fighting ×2,,1,TEF,Temporal Forces,58,Common,H,
Yanma,Pokémon,Basic,70,Grass,,,"[Colorless] Whirlwind — Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Grass,Colorless] Razor Wing 30",Lightning ×2,Fighting -30,1,DRI,Destined Rivals,2,Common,I,
Yanma,Pokémon,Basic,70,Grass,,,"[Colorless] Whirlwind — Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | [Grass,Colorless] Razor Wing 30",Lightning ×2,Fighting -30,1,DRI,Destined Rivals,183,Illustration Rare,I,
Yanmega ex,Pokémon,"Stage 1,ex",280,Grass,Yanma,"[Ability] Buzzing Boost: Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic Grass Energy cards and attach them to this Pokémon. Then, shuffle your deck.","[Grass,Grass,Grass,Colorless] Jet Cyclone 210 — Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.",Lightning ×2,Fighting -30,1,DRI,Destined Rivals,3,Double Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Yanmega ex,Pokémon,"Stage 1,ex",280,Grass,Yanma,"[Ability] Buzzing Boost: Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic Grass Energy cards and attach them to this Pokémon. Then, shuffle your deck.","[Grass,Grass,Grass,Colorless] Jet Cyclone 210 — Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.",Lightning ×2,Fighting -30,1,DRI,Destined Rivals,206,Ultra Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Yanmega ex,Pokémon,"Stage 1,ex",280,Grass,Yanma,"[Ability] Buzzing Boost: Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic Grass Energy cards and attach them to this Pokémon. Then, shuffle your deck.","[Grass,Grass,Grass,Colorless] Jet Cyclone 210 — Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.",Lightning ×2,Fighting -30,1,DRI,Destined Rivals,228,Special Illustration Rare,I,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
