name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Zacian,Pokémon,Basic,130,Psychic,,,"[Psychic,Colorless] Limit Break 50+ — If your opponent has 3 or fewer Prize cards remaining, this attack does 90 more damage.",Metal ×2,,2,PFL,Phantasmal Flames,45,Rare,I,
Zacian,Pokémon,Basic,130,Psychic,,,"[Psychic,Colorless] Limit Break 50+ — If your opponent has 3 or fewer Prize cards remaining, this attack does 90 more damage.",Metal ×2,,2,PFL,Phantasmal Flames,100,Illustration Rare,I,
Zacian,Pokémon,Basic,120,Metal,,,"[Metal] Iron Roar 30 — Attach a Basic Metal Energy card from your discard pile to 1 of your Benched Pokémon. | [Metal,Metal,Colorless] Brave Blade 130 — During your next turn, this Pokémon can't attack.",Fire ×2,Grass -30,2,PAR,Paradox Rift,136,Rare,G,
Zamazenta,Pokémon,Basic,130,Metal,,,"[Metal,Metal,Colorless] Strong Bash 70 — During your opponent's next turn, if this Pokémon is damaged by an attack (even if this Pokémon is Knocked Out), put damage counters on the Attacking Pokémon equal to the damage done to this Pokémon.",Fire ×2,Grass -30,2,DRI,Destined Rivals,146,Rare,I,
Zamazenta,Pokémon,Basic,130,Metal,,,"[Metal,Metal,Colorless] Strong Bash 70 — During your opponent's next turn, if this Pokémon is damaged by an attack (even if this Pokémon is Knocked Out), put damage counters on the Attacking Pokémon equal to the damage done to this Pokémon.",Fire ×2,Grass -30,2,DRI,Destined Rivals,201,Illustration Rare,I,
Zangoose,Pokémon,Basic,90,Colorless,,,[Colorless] Slash 40,Fighting ×2,,1,SVI,Scarlet & Violet,146,Common,G,
Zangoose,Pokémon,Basic,110,Colorless,,,"[Colorless,Colorless] Drag Off — Switch in 1 of your opponent's Benched Pokémon to the Active Spot. This attack does 30 damage to the new Active Pokémon. | [Colorless,Colorless,Colorless] Slashing Claw 80",Fighting ×2,,2,SVI,Scarlet & Violet,147,Uncommon,G,
Zangoose,Pokémon,Basic,90,Colorless,,,"[Colorless] Fury Cutter 10+ — Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 80 more damage.",Fighting ×2,,1,SSP,Surging Sparks,149,Common,H,
Zangoose ex,Pokémon,"Basic,ex",200,Colorless,,,"[Colorless] Spike Draw 20 — Draw 2 cards. | [Colorless,Colorless,Colorless] Wild Scissors 180 — This Pokémon also does 30 damage to itself.",Fighting ×2,,1,ASC,Ascended Heroes,167,Double Rare,J,"Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards."
Zapdos,Pokémon,Basic,120,Lightning,,,"[Lightning] Thunder Wave — Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. | [Lightning,Lightning,Colorless] Thunderbolt 190 — Discard all Energy from this Pokémon.",Lightning ×2,Fighting -30,2,TWM,Twilight Masquerade,65,Rare,H,
