name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Academy at Night,Trainer,Stadium,,,,,,,,0,SFA,Shrouded Fable,54,Uncommon,H,"Once during each player's turn, that player may put a card from their hand on top of their deck. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Accompanying Flute,Trainer,Item,,,,,,,,0,TWM,Twilight Masquerade,142,Uncommon,H,Reveal the top 5 cards of your opponent's deck. You may choose any number of Basic Pokémon you find there and put those Pokémon onto their Bench. Your opponent shuffles the other cards back into their deck. | You may play any number of Item cards during your turn.
Acerola's Mischief,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,113,Uncommon,I,"You can use this card only if your opponent has 2 or fewer Prize cards remaining.  Choose 1 of your Pokémon in play. During your opponent's next turn, prevent all damage from and effects of attacks done to that Pokémon by your opponent's Pokémon ex. | You may play only 1 Supporter card during your turn."
Acerola's Mischief,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,165,Ultra Rare,I,"You can use this card only if your opponent has 2 or fewer Prize cards remaining.  Choose 1 of your Pokémon in play. During your opponent's next turn, prevent all damage from and effects of attacks done to that Pokémon by your opponent's Pokémon ex. | You may play only 1 Supporter card during your turn."
Acerola's Mischief,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,183,Special Illustration Rare,I,"You can use this card only if your opponent has 2 or fewer Prize cards remaining.  Choose 1 of your Pokémon in play. During your opponent's next turn, prevent all damage from and effects of attacks done to that Pokémon by your opponent's Pokémon ex. | You may play only 1 Supporter card during your turn."
Acerola's Mischief,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,180,Uncommon,I,"You can use this card only if your opponent has 2 or fewer Prize cards remaining.  Choose 1 of your Pokémon in play. During your opponent's next turn, prevent all damage from and effects of attacks done to that Pokémon by your opponent's Pokémon ex. | You may play only 1 Supporter card during your turn."
Air Balloon,Trainer,Pokémon Tool,,,,,,,,0,MEG,Mega Evolution,166,Ultra Rare,I,"The Retreat Cost of the Pokémon this card is attached to is ColorlessColorless less. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Air Balloon,Trainer,Pokémon Tool,,,,,,,,0,ASC,Ascended Heroes,181,Uncommon,I,"The Retreat Cost of the Pokémon this card is attached to is ColorlessColorless less. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Air Balloon,Trainer,Pokémon Tool,,,,,,,,0,BLK,Black Bolt,79,Uncommon,I,"The Retreat Cost of the Pokémon this card is attached to is ColorlessColorless less. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Amarys,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,93,Common,H,"Draw 4 cards. At the end of this turn, if you have 5 or more cards in your hand, discard your hand. | You may play only 1 Supporter card during your turn."
Amarys,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,132,Ultra Rare,H,"Draw 4 cards. At the end of this turn, if you have 5 or more cards in your hand, discard your hand. | You may play only 1 Supporter card during your turn."
Amarys,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,170,Special Illustration Rare,H,"Draw 4 cards. At the end of this turn, if you have 5 or more cards in your hand, discard your hand. | You may play only 1 Supporter card during your turn."
Amulet of Hope,Trainer,"Pokémon Tool,ACE SPEC",,,,,,,,0,SSP,Surging Sparks,162,ACE SPEC Rare,H,"If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent's Pokémon, search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Ancient Booster Energy Capsule,Trainer,"Pokémon Tool,Ancient",,,,,,,,0,PAR,Paradox Rift,159,Uncommon,G,"The Ancient Pokémon this card is attached to gets +60 HP, recovers from all Special Conditions, and can't be affected by any Special Conditions. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Ancient Booster Energy Capsule,Trainer,"Pokémon Tool,Ancient",,,,,,,,0,TEF,Temporal Forces,140,Uncommon,H,"The Ancient Pokémon this card is attached to gets +60 HP, recovers from all Special Conditions, and can't be affected by any Special Conditions. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
