name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Babiri Berry,Trainer,Pokémon Tool,,,,,,,,0,SSP,Surging Sparks,163,Uncommon,H,"If the Pokémon this card is attached to is damaged by an attack from your opponent's Metal Pokémon, it takes 60 less damage (after applying Weakness and Resistance), and discard this card. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Battle Cage,Trainer,Stadium,,,,,,,,0,PFL,Phantasmal Flames,85,Uncommon,I,"Prevent all damage counters from being placed on Benched Pokémon (both yours and your opponent's) by effects of attacks and Abilities from the opponent's Pokémon. (Damage from attacks is still taken.) | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Battle Cage,Trainer,Stadium,,,,,,,,0,PFL,Phantasmal Flames,116,Ultra Rare,I,"Prevent all damage counters from being placed on Benched Pokémon (both yours and your opponent's) by effects of attacks and Abilities from the opponent's Pokémon. (Damage from attacks is still taken.) | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Beach Court,Trainer,Stadium,,,,,,,,0,SVI,Scarlet & Violet,167,Uncommon,G,"The Retreat Cost of each Basic Pokémon in play (both yours and your opponent's) is Colorless less. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Beach Court,Trainer,Stadium,,,,,,,,0,PAR,Paradox Rift,263,Hyper Rare,G,"The Retreat Cost of each Basic Pokémon in play (both yours and your opponent's) is Colorless less. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Bianca's Devotion,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,142,Uncommon,H,Heal all damage from 1 of your Pokémon that has 30 HP or less remaining. | You may play only 1 Supporter card during your turn.
Bianca's Devotion,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,197,Ultra Rare,H,Heal all damage from 1 of your Pokémon that has 30 HP or less remaining. | You may play only 1 Supporter card during your turn.
Bianca's Devotion,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,209,Special Illustration Rare,H,Heal all damage from 1 of your Pokémon that has 30 HP or less remaining. | You may play only 1 Supporter card during your turn.
Big Air Balloon,Trainer,Pokémon Tool,,,,,,,,0,MEW,151,155,Uncommon,G,"The Stage 2 Pokémon this card is attached to has no Retreat Cost. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Bill's Transfer,Trainer,Supporter,,,,,,,,0,MEW,151,156,Uncommon,G,Look at the top 8 cards of your deck. You may reveal any number of Pokémon you find there and put them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Bill's Transfer,Trainer,Supporter,,,,,,,,0,MEW,151,194,Ultra Rare,G,Look at the top 8 cards of your deck. You may reveal any number of Pokémon you find there and put them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Billy & O'Nare,Trainer,Supporter,,,,,,,,0,JTG,Journey Together,142,Common,H,"Draw 2 cards. Then, if you have 10 or more cards in your hand, draw 2 more cards. | You may play only 1 Supporter card during your turn."
Binding Mochi,Trainer,Pokémon Tool,,,,,,,,0,SFA,Shrouded Fable,55,Uncommon,H,"Attacks used by the Poisoned Pokémon this card is attached to do 40 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Binding Mochi,Trainer,Pokémon Tool,,,,,,,,0,PRE,Prismatic Evolutions,95,Uncommon,H,"Attacks used by the Poisoned Pokémon this card is attached to do 40 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,255,Ultra Rare,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,96,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,97,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,98,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,99,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,JTG,Journey Together,143,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,JTG,Journey Together,144,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Black Belt's Training,Trainer,Supporter,,,,,,,,0,JTG,Journey Together,145,Common,H,"During this turn, attacks used by your Pokémon do 40 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may play only 1 Supporter card during your turn."
Blowtorch,Trainer,Item,,,,,,,,0,PFL,Phantasmal Flames,86,Uncommon,I,"You can use this card only if you discard a Basic Fire Energy card from your hand.  Discard a Pokémon Tool or Special Energy card from 1 of your opponent's Pokémon, or discard a Stadium in play. | You may play any number of Item cards during your turn."
Blowtorch,Trainer,Item,,,,,,,,0,PFL,Phantasmal Flames,117,Ultra Rare,I,"You can use this card only if you discard a Basic Fire Energy card from your hand.  Discard a Pokémon Tool or Special Energy card from 1 of your opponent's Pokémon, or discard a Stadium in play. | You may play any number of Item cards during your turn."
Boss's Orders,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,114,Uncommon,I,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn.
Boss's Orders,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,183,Uncommon,I,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn.
Boss's Orders,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,256,Ultra Rare,I,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn.
Boss's Orders (Ghetsis),Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,172,Rare,G,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn.
Boss's Orders (Ghetsis),Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,248,Ultra Rare,G,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn.
Boss's Orders (Ghetsis),Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,265,Special Illustration Rare,G,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn.
Boxed Order,Trainer,Item,,,,,,,,0,TEF,Temporal Forces,143,Uncommon,H,"Search your deck for up to 2 Item cards, reveal them, and put them into your hand. Then, shuffle your deck. Your turn ends. | You may play any number of Item cards during your turn."
Brassius,Trainer,Supporter,,,,,,,,0,OBF,Obsidian Flames,187,Uncommon,G,"Count the cards in your hand, shuffle those cards into your deck, then draw that many cards plus 1. | You may play only 1 Supporter card during your turn."
Brassius,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,135,Ultra Rare,G,"Count the cards in your hand, shuffle those cards into your deck, then draw that many cards plus 1. | You may play only 1 Supporter card during your turn."
Brave Bangle,Trainer,Pokémon Tool,,,,,,,,0,WHT,White Flare,80,Uncommon,I,"If the Pokémon this card is attached to doesn't have a Rule Box, the attacks it uses do 30 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Bravery Charm,Trainer,Pokémon Tool,,,,,,,,0,PAL,Paldea Evolved,173,Uncommon,G,The Basic Pokémon this card is attached to gets +50 HP. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached.
Bravery Charm,Trainer,Pokémon Tool,,,,,,,,0,SCR,Stellar Crown,175,Hyper Rare,G,"The Basic Pokémon this card is attached to gets +50 HP. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Briar,Trainer,Supporter,,,,,,,,0,SCR,Stellar Crown,132,Uncommon,H,"You can use this card only if your opponent has exactly 2 Prize cards remaining.    During this turn, if your opponent's Active Pokémon is Knocked Out by damage from an attack used by your Tera Pokémon, take 1 more Prize card. | You may play only 1 Supporter card during your turn."
Briar,Trainer,Supporter,,,,,,,,0,SCR,Stellar Crown,163,Ultra Rare,H,"You can use this card only if your opponent has exactly 2 Prize cards remaining.    During this turn, if your opponent's Active Pokémon is Knocked Out by damage from an attack used by your Tera Pokémon, take 1 more Prize card. | You may play only 1 Supporter card during your turn."
Briar,Trainer,Supporter,,,,,,,,0,SCR,Stellar Crown,171,Special Illustration Rare,H,"You can use this card only if your opponent has exactly 2 Prize cards remaining.    During this turn, if your opponent's Active Pokémon is Knocked Out by damage from an attack used by your Tera Pokémon, take 1 more Prize card. | You may play only 1 Supporter card during your turn."
