name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Calamitous Snowy Mountain,Trainer,Stadium,,,,,,,,0,PAL,Paldea Evolved,174,Uncommon,G,"Whenever any player attaches an Energy card from their hand to 1 of their Basic non-Water Pokémon, put 2 damage counters on that Pokémon. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Calamitous Wasteland,Trainer,Stadium,,,,,,,,0,PAL,Paldea Evolved,175,Uncommon,G,"The Retreat Cost of each Basic non-Fighting Pokémon in play (both yours and your opponent's) is Colorless more. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Call Bell,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,165,Uncommon,H,"You can use this card only if you go second, and only during your first turn.  Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Canari,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,185,Uncommon,I,"You can use this card only if you discard another card from your hand.  Search your deck for up to 4 Lightning Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Canari,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,257,Ultra Rare,I,"You can use this card only if you discard another card from your hand.  Search your deck for up to 4 Lightning Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Canari,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,291,Special Illustration Rare,I,"You can use this card only if you discard another card from your hand.  Search your deck for up to 4 Lightning Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Caretaker,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,144,Common,H,"Draw 2 cards. If you drew any cards in this way and if Community Center is in play, shuffle this Caretaker into your deck instead of discarding it. | You may play only 1 Supporter card during your turn."
Caretaker,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,203,Ultra Rare,H,"Draw 2 cards. If you drew any cards in this way and if Community Center is in play, shuffle this Caretaker into your deck instead of discarding it. | You may play only 1 Supporter card during your turn."
Carmine,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,145,Uncommon,H,"If you go first, you may use this card during your first turn.    Discard your hand and draw 5 cards. | You may play only 1 Supporter card during your turn."
Carmine,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,204,Ultra Rare,H,"If you go first, you may use this card during your first turn.    Discard your hand and draw 5 cards. | You may play only 1 Supporter card during your turn."
Carmine,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,217,Special Illustration Rare,H,"If you go first, you may use this card during your first turn.    Discard your hand and draw 5 cards. | You may play only 1 Supporter card during your turn."
Carmine,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,103,Uncommon,H,"If you go first, you may use this card during your first turn.  Discard your hand and draw 5 cards. | You may play only 1 Supporter card during your turn."
Cassiopeia,Trainer,Supporter,,,,,,,,0,SFA,Shrouded Fable,56,Uncommon,H,"You can use this card only when it is the last card in your hand.  Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Cassiopeia,Trainer,Supporter,,,,,,,,0,SFA,Shrouded Fable,86,Ultra Rare,H,"You can use this card only when it is the last card in your hand.  Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Cassiopeia,Trainer,Supporter,,,,,,,,0,SFA,Shrouded Fable,94,Special Illustration Rare,H,"You can use this card only when it is the last card in your hand.  Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Cheren,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,258,Ultra Rare,I,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Cheren,Trainer,Supporter,,,,,,,,0,WHT,White Flare,81,Uncommon,I,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Chill Teaser Toy,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,166,Uncommon,H,"You can use this card only if you go second, and only during your first turn.  Put an Energy attached to 1 of your opponent's Pokémon into their hand. | You may play any number of Item cards during your turn."
Choice Belt,Trainer,Pokémon Tool,,,,,,,,0,PAL,Paldea Evolved,176,Uncommon,G,The attacks of the Pokémon this card is attached to do 30 more damage to your opponent's Active Pokémon V (before applying Weakness and Resistance). | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached.
Ciphermaniac's Codebreaking,Trainer,"Supporter,Future",,,,,,,,0,TEF,Temporal Forces,145,Uncommon,H,"Search your deck for 2 cards, shuffle your deck, then put those cards on top of it in any order. | You may play only 1 Supporter card during your turn."
