name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Daisy's Help,Trainer,Supporter,,,,,,,,0,MEW,151,158,Uncommon,G,Draw 2 cards. Look at your face-down Prize cards. | You may play only 1 Supporter card during your turn.
Daisy's Help,Trainer,Supporter,,,,,,,,0,MEW,151,195,Ultra Rare,G,Draw 2 cards. Look at your face-down Prize cards. | You may play only 1 Supporter card during your turn.
Dangerous Laser,Trainer,"Item,ACE SPEC",,,,,,,,0,SFA,Shrouded Fable,58,ACE SPEC Rare,H,You can't have more than 1 ACE SPEC card in your deck. | Your opponent's Active Pokémon is now Burned and Confused. | You may play any number of Item cards during your turn.
Dawn,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,87,Uncommon,I,"Search your deck for a Basic Pokémon, a Stage 1 Pokémon, and a Stage 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Dawn,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,118,Ultra Rare,I,"Search your deck for a Basic Pokémon, a Stage 1 Pokémon, and a Stage 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Dawn,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,129,Special Illustration Rare,I,"Search your deck for a Basic Pokémon, a Stage 1 Pokémon, and a Stage 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Deduction Kit,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,171,Uncommon,H,"Look at the top 3 cards of your deck and put them back in any order, or shuffle them and put them on the bottom of your deck. | You may play any number of Item cards during your turn."
Defiance Band,Trainer,Pokémon Tool,,,,,,,,0,SVI,Scarlet & Violet,169,Uncommon,G,"If you have more Prize cards remaining than your opponent, the attacks of the Pokémon this card is attached to do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Defiance Vest,Trainer,Pokémon Tool,,,,,,,,0,PAR,Paradox Rift,162,Uncommon,G,"If you have more Prize cards remaining than your opponent, the Pokémon this card is attached to takes 40 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Delivery Drone,Trainer,Item,,,,,,,,0,PAL,Paldea Evolved,178,Uncommon,G,"Flip 2 coins. If both of them are heads, search your deck for a card and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Deluxe Bomb,Trainer,"Pokémon Tool,ACE SPEC",,,,,,,,0,SCR,Stellar Crown,134,ACE SPEC Rare,H,"You can't have more than 1 ACE SPEC card in your deck. | If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 12 damage counters on the Attacking Pokémon. If you placed any damage counters in this way, discard this card. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Dendra,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,179,Uncommon,G,"Put a card from your hand on the bottom of your deck. If you do, draw cards until you have 5 cards in your hand. (If you have no other cards in your hand, you can't use this card.) | You may play only 1 Supporter card during your turn."
Dendra,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,250,Ultra Rare,G,"Put a card from your hand on the bottom of your deck. If you do, draw cards until you have 5 cards in your hand. (If you have no other cards in your hand, you can't use this card.) | You may play only 1 Supporter card during your turn."
Dendra,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,266,Special Illustration Rare,G,"Put a card from your hand on the bottom of your deck. If you do, draw cards until you have 5 cards in your hand. (If you have no other cards in your hand, you can't use this card.) | You may play only 1 Supporter card during your turn."
Dizzying Valley,Trainer,Stadium,,,,,,,,0,PFL,Phantasmal Flames,88,Uncommon,I,"Confused Pokémon (both yours and your opponent's) don't recover from that Special Condition when they evolve or devolve. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Dragon Elixir,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,172,Uncommon,H,Heal 60 damage from your Active Dragon Pokémon. | You may play any number of Item cards during your turn.
Drasna,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,173,Common,H,"Shuffle your hand into your deck. Then, flip a coin. If heads, draw 8 cards. If tails, draw 3 cards. | You may play only 1 Supporter card during your turn."
Drasna,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,231,Ultra Rare,H,"Shuffle your hand into your deck. Then, flip a coin. If heads, draw 8 cards. If tails, draw 3 cards. | You may play only 1 Supporter card during your turn."
Drayton,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,174,Uncommon,H,Look at the top 7 cards of your deck. You may reveal a Pokémon and a Trainer card you find there and put them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Drayton,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,232,Ultra Rare,H,Look at the top 7 cards of your deck. You may reveal a Pokémon and a Trainer card you find there and put them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Drayton,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,244,Special Illustration Rare,H,Look at the top 7 cards of your deck. You may reveal a Pokémon and a Trainer card you find there and put them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Drayton,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,172,Special Illustration Rare,H,Look at the top 7 cards of your deck. You may reveal a Pokémon and a Trainer card you find there and put them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Dusk Ball,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,175,Uncommon,H,Look at the bottom 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck. | You may play any number of Item cards during your turn.
