name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Earthen Vessel,Trainer,"Item,Ancient",,,,,,,,0,PAR,Paradox Rift,163,Uncommon,G,"You can use this card only if you discard another card from your hand.  Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Earthen Vessel,Trainer,"Item,Ancient",,,,,,,,0,SFA,Shrouded Fable,96,Hyper Rare,G,"You can use this card only if you discard another card from your hand.  Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Earthen Vessel,Trainer,"Item,Ancient",,,,,,,,0,PRE,Prismatic Evolutions,106,Uncommon,G,"You can use this card only if you discard another card from your hand.  Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Electric Generator,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,170,Uncommon,G,Look at the top 5 cards of your deck and attach up to 2 Basic Lightning Energy cards you find there to your Benched Lightning Pokémon in any way you like. Shuffle the other cards back into your deck. | You may play any number of Item cards during your turn.
Electric Generator,Trainer,Item,,,,,,,,0,PAF,Paldean Fates,79,Uncommon,G,Look at the top 5 cards of your deck and attach up to 2 Basic Lightning Energy cards you find there to your Benched Lightning Pokémon in any way you like. Shuffle the other cards back into your deck. | You may play any number of Item cards during your turn.
Emcee's Hype,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,163,Common,I,"Draw 2 cards. If your opponent has 3 or fewer Prize cards remaining, draw 2 more cards. | You may play only 1 Supporter card during your turn."
Emcee's Hype,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,220,Ultra Rare,I,"Draw 2 cards. If your opponent has 3 or fewer Prize cards remaining, draw 2 more cards. | You may play only 1 Supporter card during your turn."
Energy Coin,Trainer,Item,,,,,,,,0,BLK,Black Bolt,81,Uncommon,I,"Flip 2 coins. If both of them are heads, search your deck for a Basic Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Energy Recycler,Trainer,Item,,,,,,,,0,DRI,Destined Rivals,164,Uncommon,I,Shuffle up to 5 Basic Energy cards from your discard pile into your deck. | You may play any number of Item cards during your turn.
Energy Retrieval,Trainer,Item,,,,,,,,0,WHT,White Flare,82,Uncommon,I,Put up to 2 Basic Energy cards from your discard pile into your hand. | You may play any number of Item cards during your turn.
