name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Falkner,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,180,Uncommon,G,"Draw 2 cards. If you have a Stadium in play, draw 2 more cards. | You may play only 1 Supporter card during your turn."
Falkner,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,251,Ultra Rare,G,"Draw 2 cards. If you have a Stadium in play, draw 2 more cards. | You may play only 1 Supporter card during your turn."
Fennel,Trainer,Supporter,,,,,,,,0,BLK,Black Bolt,82,Uncommon,I,Heal 40 damage from each of your Pokémon. | You may play only 1 Supporter card during your turn.
Fennel,Trainer,Supporter,,,,,,,,0,BLK,Black Bolt,162,Ultra Rare,I,Heal 40 damage from each of your Pokémon. | You may play only 1 Supporter card during your turn.
Festival Grounds,Trainer,Stadium,,,,,,,,0,TWM,Twilight Masquerade,149,Uncommon,H,"Each Pokémon that has any Energy attached (both yours and your opponent's) recovers from all Special Conditions and can't be affected by any Special Conditions. | You may play only 1 Stadium card during your turn. Put it into the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Festival Grounds,Trainer,Stadium,,,,,,,,0,PRE,Prismatic Evolutions,108,Uncommon,H,"Each Pokémon that has any Energy attached (both yours and your opponent's) recovers from all Special Conditions and can't be affected by any Special Conditions. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Fighting Au Lait,Trainer,Item,,,,,,,,0,PAL,Paldea Evolved,181,Uncommon,G,You can use this card only if you have more Prize cards remaining than your opponent.Heal 60 damage from 1 of your Pokémon. | You may play any number of Item cards during your turn.
Fighting Gong,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,116,Uncommon,I,"Search your deck for a Basic Fighting Energy card or a Basic Fighting Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Fighting Gong,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,168,Ultra Rare,I,"Search your deck for a Basic Fighting Energy card or a Basic Fighting Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Fighting Gong,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,187,Uncommon,I,"Search your deck for a Basic Fighting Energy card or a Basic Fighting Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Firebreather,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,89,Uncommon,I,"Search your deck for up to 7 Basic Fire Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Firebreather,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,119,Ultra Rare,I,"Search your deck for up to 7 Basic Fire Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Forest of Vitality,Trainer,Stadium,,,,,,,,0,MEG,Mega Evolution,117,Uncommon,I,"Each player's Grass Pokémon can evolve into Grass Pokémon during the turn they play those Pokémon, except during their first turn. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Forest of Vitality,Trainer,Stadium,,,,,,,,0,ASC,Ascended Heroes,188,Uncommon,I,"Each player's Grass Pokémon can evolve into Grass Pokémon during the turn they play those Pokémon, except during their first turn. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can’t be played."
Friends in Paldea,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,109,Common,H,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Friends in Paldea,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,137,Ultra Rare,H,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Full Metal Lab,Trainer,Stadium,,,,,,,,0,TEF,Temporal Forces,148,Uncommon,H,"Metal Pokémon (both yours and your opponent's) take 30 less damage from attacks from the opponent's Pokémon (after applying Weakness and Resistance). | You may play only 1 Stadium card during your turn. Put it into the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Future Booster Energy Capsule,Trainer,"Pokémon Tool,Future",,,,,,,,0,PAR,Paradox Rift,164,Uncommon,G,"The Future Pokémon this card is attached to has no Retreat Cost, and the attacks it uses do 20 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Future Booster Energy Capsule,Trainer,"Pokémon Tool,Future",,,,,,,,0,TEF,Temporal Forces,149,Uncommon,H,"The Future Pokémon this card is attached to has no Retreat Cost, and the attacks it uses do 20 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
