name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Geeta,Trainer,Supporter,,,,,,,,0,OBF,Obsidian Flames,188,Rare,G,"Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck. During this turn, your Pokémon can't attack. (This includes Pokémon that come into play this turn.) | You may play only 1 Supporter card during your turn."
Geeta,Trainer,Supporter,,,,,,,,0,OBF,Obsidian Flames,218,Ultra Rare,G,"Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck. During this turn, your Pokémon can't attack. (This includes Pokémon that come into play this turn.) | You may play only 1 Supporter card during your turn."
Geeta,Trainer,Supporter,,,,,,,,0,OBF,Obsidian Flames,226,Special Illustration Rare,G,"Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck. During this turn, your Pokémon can't attack. (This includes Pokémon that come into play this turn.) | You may play only 1 Supporter card during your turn."
Giacomo,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,182,Uncommon,G,Discard a Special Energy from each of your opponent's Pokémon. | You may play only 1 Supporter card during your turn.
Giacomo,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,252,Ultra Rare,G,Discard a Special Energy from each of your opponent's Pokémon. | You may play only 1 Supporter card during your turn.
Giacomo,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,267,Special Illustration Rare,G,Discard a Special Energy from each of your opponent's Pokémon. | You may play only 1 Supporter card during your turn.
Giacomo,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,138,Ultra Rare,G,Discard a Special Energy from each of your opponent's Pokémon. | You may play only 1 Supporter card during your turn.
Giovanni's Charisma,Trainer,Supporter,,,,,,,,0,MEW,151,161,Uncommon,G,"Put an Energy attached to your opponent's Active Pokémon into their hand. If you do, attach an Energy card from your hand to your Active Pokémon. | You may play only 1 Supporter card during your turn."
Giovanni's Charisma,Trainer,Supporter,,,,,,,,0,MEW,151,197,Ultra Rare,G,"Put an Energy attached to your opponent's Active Pokémon into their hand. If you do, attach an Energy card from your hand to your Active Pokémon. | You may play only 1 Supporter card during your turn."
Giovanni's Charisma,Trainer,Supporter,,,,,,,,0,MEW,151,204,Special Illustration Rare,G,"Put an Energy attached to your opponent's Active Pokémon into their hand. If you do, attach an Energy card from your hand to your Active Pokémon. | You may play only 1 Supporter card during your turn."
Glass Trumpet,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,189,Common,H,You can use this card only if you have any Tera Pokémon in play.  Choose up to 2 of your Benched Colorless Pokémon and attach a Basic Energy card from your discard pile to each of them. | You may play any number of Item cards during your turn.
Glass Trumpet,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,260,Ultra Rare,H,You can use this card only if you have any Tera Pokémon in play.  Choose up to 2 of your Benched Colorless Pokémon and attach a Basic Energy card from your discard pile to each of them. | You may play any number of Item cards during your turn.
Glass Trumpet,Trainer,Item,,,,,,,,0,SCR,Stellar Crown,135,Uncommon,H,You can use this card only if you have any Tera Pokémon in play.    Choose up to 2 of your Benched Colorless Pokémon and attach a Basic Energy card from your discard pile to each of them. | You may play any number of Item cards during your turn.
Glass Trumpet,Trainer,Item,,,,,,,,0,PRE,Prismatic Evolutions,110,Uncommon,H,You can use this card only if you have any Tera Pokémon in play.  Choose up to 2 of your Benched Colorless Pokémon and attach a Basic Energy card from your discard pile to each of them. | You may play any number of Item cards during your turn.
Grabber,Trainer,Item,,,,,,,,0,MEW,151,162,Uncommon,G,"Your opponent reveals their hand, and you put a Pokémon you find there on the bottom of their deck. | You may play any number of Item cards during your turn."
Grand Tree,Trainer,"Stadium,ACE SPEC",,,,,,,,0,SCR,Stellar Crown,136,ACE SPEC Rare,H,"You can't have more than 1 ACE SPEC card in your deck. | Once during each player's turn, that player may search their deck for a Stage 1 Pokémon that evolves from 1 of their Basic Pokémon and put it onto that Pokémon to evolve it. If that Pokémon was evolved in this way, that player may search their deck for a Stage 2 Pokémon that evolves from that Pokémon and put it onto that Pokémon to evolve it. Then, that player shuffles their deck. (Players can't evolve a Basic Pokémon during their first turn or a Basic Pokémon that was put into play this turn.) | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Granite Cave,Trainer,Stadium,,,,,,,,0,DRI,Destined Rivals,166,Uncommon,I,"Steven's Pokémon (both yours and your opponent's) take 30 less damage from attacks from the opponent's Pokémon (after applying Weakness and Resistance). | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Gravity Gemstone,Trainer,Pokémon Tool,,,,,,,,0,SCR,Stellar Crown,137,Uncommon,H,"As long as the Pokémon this card is attached to is in the Active Spot, the Retreat Cost of both Active Pokémon is Colorless more. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Gravity Mountain,Trainer,Stadium,,,,,,,,0,SSP,Surging Sparks,177,Uncommon,H,"Each Stage 2 Pokémon in play (both yours and your opponent's) gets -30 HP. | You may play only 1 Stadium card during your turn. Put it into the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Gravity Mountain,Trainer,Stadium,,,,,,,,0,SSP,Surging Sparks,250,Hyper Rare,H,"Each Stage 2 Pokémon in play (both yours and your opponent's) gets -30 HP. | You may play only 1 Stadium card during your turn. Put it into the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Great Ball,Trainer,Item,,,,,,,,0,PAL,Paldea Evolved,183,Common,G,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck. | You may play any number of Item cards during your turn.
Grimsley's Move,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,90,Uncommon,I,Look at the top 7 cards of your deck and put a Darkness Pokémon you find there onto your Bench. Shuffle the other cards and put them on the bottom of your deck. You can't use this card during your first turn. | You may play only 1 Supporter card during your turn.
Grimsley's Move,Trainer,Supporter,,,,,,,,0,PFL,Phantasmal Flames,120,Ultra Rare,I,Look at the top 7 cards of your deck and put a Darkness Pokémon you find there onto your Bench. Shuffle the other cards and put them on the bottom of your deck. You can't use this card during your first turn. | You may play only 1 Supporter card during your turn.
Grusha,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,184,Uncommon,G,"Draw cards until you have 5 cards in your hand. If none of your Pokémon have any Energy attached, draw cards until you have 7 cards in your hand instead. | You may play only 1 Supporter card during your turn."
Grusha,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,253,Ultra Rare,G,"Draw cards until you have 5 cards in your hand. If none of your Pokémon have any Energy attached, draw cards until you have 7 cards in your hand instead. | You may play only 1 Supporter card during your turn."
Grusha,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,268,Special Illustration Rare,G,"Draw cards until you have 5 cards in your hand. If none of your Pokémon have any Energy attached, draw cards until you have 7 cards in your hand instead. | You may play only 1 Supporter card during your turn."
