name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Haban Berry,Trainer,Pokémon Tool,,,,,,,,0,PRE,Prismatic Evolutions,111,Common,H,"If the Pokémon this card is attached to is damaged by an attack from your opponent's Dragon Pokémon, it takes 60 less damage (after applying Weakness and Resistance), and discard this card. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Hand Trimmer,Trainer,Item,,,,,,,,0,TEF,Temporal Forces,150,Uncommon,H,"Each player discards cards from their hand until they have 5 cards in their hand. Your opponent discards first. (If a player has 5 or fewer cards in their hand, they do not discard.) | You may play any number of Item cards during your turn."
Handheld Fan,Trainer,Pokémon Tool,,,,,,,,0,TWM,Twilight Masquerade,150,Uncommon,H,"If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), move an Energy from the Attacking Pokémon to 1 of your opponent's Benched Pokémon. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Harlequin,Trainer,Supporter,,,,,,,,0,WHT,White Flare,83,Uncommon,I,"Each player shuffles their hand into their deck. Then, flip a coin. If heads, you draw 5 cards, and your opponent draws 3 cards. If tails, you draw 3 cards, and your opponent draws 5 cards. | You may play only 1 Supporter card during your turn."
Harlequin,Trainer,Supporter,,,,,,,,0,WHT,White Flare,163,Ultra Rare,I,"Each player shuffles their hand into their deck. Then, flip a coin. If heads, you draw 5 cards, and your opponent draws 3 cards. If tails, you draw 3 cards, and your opponent draws 5 cards. | You may play only 1 Supporter card during your turn."
Hassel,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,151,Uncommon,H,You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.    Look at the top 8 cards of your deck and put up to 3 of them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Hassel,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,205,Ultra Rare,H,You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.    Look at the top 8 cards of your deck and put up to 3 of them into your hand. Shuffle the other cards back into your deck. | You may play only 1 Supporter card during your turn.
Heavy Baton,Trainer,Pokémon Tool,,,,,,,,0,TEF,Temporal Forces,151,Uncommon,H,"If the Pokémon this card is attached to has a Retreat Cost of exactly 4, is in the Active Spot, and is Knocked Out by damage from an attack from your opponent's Pokémon, move up to 3 Basic Energy cards from that Pokémon to your Benched Pokémon in any way you like. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Hero's Cape,Trainer,"Pokémon Tool,ACE SPEC",,,,,,,,0,TEF,Temporal Forces,152,ACE SPEC Rare,H,"The Pokémon this card is attached to gets +100 HP. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Hilda,Trainer,Supporter,,,,,,,,0,WHT,White Flare,84,Uncommon,I,"Search your deck for an Evolution Pokémon and an Energy card, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Hilda,Trainer,Supporter,,,,,,,,0,WHT,White Flare,164,Ultra Rare,I,"Search your deck for an Evolution Pokémon and an Energy card, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Hilda,Trainer,Supporter,,,,,,,,0,WHT,White Flare,171,Special Illustration Rare,I,"Search your deck for an Evolution Pokémon and an Energy card, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Hop's Bag,Trainer,Item,,,,,,,,0,JTG,Journey Together,147,Uncommon,I,"Search your deck for up to 2 Basic Hop's Pokémon and put them onto your Bench. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Hop's Choice Band,Trainer,Pokémon Tool,,,,,,,,0,JTG,Journey Together,148,Uncommon,I,"Attacks used by the Hop's Pokémon this card is attached to cost Colorless less and do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Hyper Aroma,Trainer,"Item,ACE SPEC",,,,,,,,0,TWM,Twilight Masquerade,152,ACE SPEC Rare,H,"You can't have more than 1 ACE SPEC card in your deck. | Search your deck for up to 3 Stage 1 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
