name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Iono,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,185,Uncommon,G,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, each player draws a card for each of their remaining Prize cards. | You may play only 1 Supporter card during your turn."
Iono,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,254,Ultra Rare,G,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, each player draws a card for each of their remaining Prize cards. | You may play only 1 Supporter card during your turn."
Iono,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,269,Special Illustration Rare,G,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, each player draws a card for each of their remaining Prize cards. | You may play only 1 Supporter card during your turn."
Iono,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,80,Uncommon,G,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, each player draws a card for each of their remaining Prize cards. | You may play only 1 Supporter card during your turn."
Iono,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,237,Special Illustration Rare,G,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, each player draws a card for each of their remaining Prize cards. | You may play only 1 Supporter card during your turn."
Iono,Trainer,Supporter,,,,,,,,0,PR-SV,Scarlet & Violet Black Star Promos,124,Promo,G,"Each player shuffles their hand and puts it on the bottom of their deck. If either player put any cards on the bottom of their deck in this way, each player draws a card for each of their remaining Prize cards. | You may play only 1 Supporter card during your turn."
Iris's Fighting Spirit,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,190,Uncommon,I,You can use this card only if you discard another card from your hand.  Draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn.
Iris's Fighting Spirit,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,292,Special Illustration Rare,I,You can use this card only if you discard another card from your hand.  Draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn.
Iris's Fighting Spirit,Trainer,Supporter,,,,,,,,0,JTG,Journey Together,149,Uncommon,I,You can use this card only if you discard another card from your hand.  Draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn.
Iris's Fighting Spirit,Trainer,Supporter,,,,,,,,0,JTG,Journey Together,180,Ultra Rare,I,You can use this card only if you discard another card from your hand.  Draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn.
Iron Defender,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,118,Uncommon,I,"During your opponent's next turn, all of your Metal Pokémon take 30 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.) | You may play any number of Item cards during your turn."
