name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Jacq,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,175,Uncommon,G,"Search your deck for up to 2 Evolution Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Jacq,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,236,Ultra Rare,G,"Search your deck for up to 2 Evolution Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Jacq,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,250,Special Illustration Rare,G,"Search your deck for up to 2 Evolution Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Jamming Tower,Trainer,Stadium,,,,,,,,0,ASC,Ascended Heroes,261,Ultra Rare,H,"Pokémon Tools attached to each Pokémon (both yours and your opponent's) have no effect. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can’t be played."
Jamming Tower,Trainer,Stadium,,,,,,,,0,DRI,Destined Rivals,243,Hyper Rare,H,"Pokémon Tools attached to each Pokémon (both yours and your opponent's) have no effect. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Jamming Tower,Trainer,Stadium,,,,,,,,0,TWM,Twilight Masquerade,153,Uncommon,H,"Pokémon Tools attached to each Pokémon (both yours and your opponent's) have no effect. | You may play only 1 Stadium card during your turn. Put it into the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Janine's Secret Art,Trainer,Supporter,,,,,,,,0,SFA,Shrouded Fable,59,Uncommon,H,"Choose up to 2 of your Darkness Pokémon. For each of those Pokémon, search your deck for a Basic Darkness Energy card and attach it to that Pokémon. Then, shuffle your deck. If you attached Energy to your Active Pokémon in this way, it is now Poisoned. | You may play only 1 Supporter card during your turn."
Janine's Secret Art,Trainer,Supporter,,,,,,,,0,SFA,Shrouded Fable,88,Ultra Rare,H,"Choose up to 2 of your Darkness Pokémon. For each of those Pokémon, search your deck for a Basic Darkness Energy card and attach it to that Pokémon. Then, shuffle your deck. If you attached Energy to your Active Pokémon in this way, it is now Poisoned. | You may play only 1 Supporter card during your turn."
Janine's Secret Art,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,112,Uncommon,H,"Choose up to 2 of your Darkness Pokémon. For each of those Pokémon, search your deck for a Basic Darkness Energy card and attach it to that Pokémon. Then, shuffle your deck. If you attached Energy to your Active Pokémon in this way, it is now Poisoned. | You may play only 1 Supporter card during your turn."
Janine's Secret Art,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,173,Special Illustration Rare,H,"Choose up to 2 of your Darkness Pokémon. For each of those Pokémon, search your deck for a Basic Darkness Energy card and attach it to that Pokémon. Then, shuffle your deck. If you attached Energy to your Active Pokémon in this way, it is now Poisoned. | You may play only 1 Supporter card during your turn."
Jasmine's Gaze,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,178,Uncommon,H,"During your opponent's next turn, all of your Pokémon take 30 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.) | You may play only 1 Supporter card during your turn."
Jasmine's Gaze,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,233,Ultra Rare,H,"During your opponent's next turn, all of your Pokémon take 30 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.) | You may play only 1 Supporter card during your turn."
Jasmine's Gaze,Trainer,Supporter,,,,,,,,0,SSP,Surging Sparks,245,Special Illustration Rare,H,"During your opponent's next turn, all of your Pokémon take 30 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.) | You may play only 1 Supporter card during your turn."
Judge,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,176,Uncommon,G,Each player shuffles their hand into their deck and draws 4 cards. | You may play only 1 Supporter card during your turn.
Judge,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,167,Uncommon,G,Each player shuffles their hand into their deck and draws 4 cards. | You may play only 1 Supporter card during your turn.
Judge,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,222,Ultra Rare,G,Each player shuffles their hand into their deck and draws 4 cards. | You may play only 1 Supporter card during your turn.
Judge,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,228,Ultra Rare,G,Each player shuffles their hand into their deck and draws 4 cards. | You may play only 1 Supporter card during your turn.
Jumbo Ice Cream,Trainer,Item,,,,,,,,0,PFL,Phantasmal Flames,91,Uncommon,I,Heal 80 damage from your Active Pokémon that has 3 or more Energy attached. | You may play any number of Item cards during your turn.
