name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Lacey,Trainer,Supporter,,,,,,,,0,SCR,Stellar Crown,139,Uncommon,H,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lacey,Trainer,Supporter,,,,,,,,0,SCR,Stellar Crown,166,Ultra Rare,H,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lacey,Trainer,Supporter,,,,,,,,0,SCR,Stellar Crown,172,Special Illustration Rare,H,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lacey,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,114,Uncommon,H,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lacey,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,175,Special Illustration Rare,H,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lana's Aid,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,155,Uncommon,H,"Put up to 3 in any combination of Pokémon that don't have a Rule Box and Basic Energy cards from your discard pile into your hand. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Lana's Aid,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,207,Ultra Rare,H,"Put up to 3 in any combination of Pokémon that don't have a Rule Box and Basic Energy cards from your discard pile into your hand. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Lana's Aid,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,219,Special Illustration Rare,H,"Put up to 3 in any combination of Pokémon that don't have a Rule Box and Basic Energy cards from your discard pile into your hand. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Larry,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,165,Common,G,"Flip a coin. If heads, search your deck for up to 2 Pokémon, reveal them, and put them into your hand. If tails, search your deck for a Basic Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Larry,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,235,Ultra Rare,G,"Flip a coin. If heads, search your deck for up to 2 Pokémon, reveal them, and put them into your hand. If tails, search your deck for a Basic Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Larry's Skill,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,115,Common,H,"Discard your hand and search your deck for a Pokémon, a Supporter card, and a Basic Energy card, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Larry's Skill,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,139,Ultra Rare,H,"Discard your hand and search your deck for a Pokémon, a Supporter card, and a Basic Energy card, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Leftovers,Trainer,Pokémon Tool,,,,,,,,0,MEW,151,163,Uncommon,G,"At the end of your turn, if the Pokémon this card is attached to is in the Active Spot, heal 20 damage from it. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Letter of Encouragement,Trainer,Item,,,,,,,,0,OBF,Obsidian Flames,189,Uncommon,G,"You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn. | Search your deck for up to 3 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Levincia,Trainer,Stadium,,,,,,,,0,DRI,Destined Rivals,244,Hyper Rare,I,"Once during each player's turn, that player may put up to 2 Basic Lightning Energy cards from their discard pile into their hand. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Levincia,Trainer,Stadium,,,,,,,,0,JTG,Journey Together,150,Uncommon,I,"Once during each player's turn, that player may put up to 2 Basic Lightning Energy cards from their discard pile into their hand. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Light Ball,Trainer,Pokémon Tool,,,,,,,,0,ASC,Ascended Heroes,191,Uncommon,I,"Attacks used by the Pikachu ex this card is attached to do 50 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Lillie's Determination,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,119,Uncommon,I,"Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lillie's Determination,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,169,Ultra Rare,I,"Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lillie's Determination,Trainer,Supporter,,,,,,,,0,MEG,Mega Evolution,184,Special Illustration Rare,I,"Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lillie's Determination,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,192,Uncommon,I,"Shuffle your hand into your deck. Then, draw 6 cards. If you have exactly 6 Prize cards remaining, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Lillie's Pearl,Trainer,Pokémon Tool,,,,,,,,0,JTG,Journey Together,151,Uncommon,I,"If the Lillie's Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent's Pokémon, that player takes 1 fewer Prize card. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
