name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Master Ball,Trainer,"Item,ACE SPEC",,,,,,,,0,TEF,Temporal Forces,153,ACE SPEC Rare,H,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Max Rod,Trainer,"Item,ACE SPEC",,,,,,,,0,PRE,Prismatic Evolutions,116,ACE SPEC Rare,H,You can't have more than 1 ACE SPEC card in your deck. | Put up to 5 in any combination of Pokémon and Basic Energy cards from your discard pile into your hand. | You may play any number of Item cards during your turn.
Maximum Belt,Trainer,"Pokémon Tool,ACE SPEC",,,,,,,,0,TEF,Temporal Forces,154,ACE SPEC Rare,H,"Attacks used by the Pokémon this card is attached to do 50 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Maximum Belt,Trainer,"Pokémon Tool,ACE SPEC",,,,,,,,0,PRE,Prismatic Evolutions,117,ACE SPEC Rare,H,"You can't have more than 1 ACE SPEC card in your deck. | Attacks used by the Pokémon this card is attached to do 50 more damage to your opponent's Active Pokémon ex (before applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Meddling Memo,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,181,Uncommon,H,"Your opponent counts the cards in their hand, shuffles those cards, and puts them on the bottom of their deck. If they do, they draw that many cards. | You may play any number of Item cards during your turn."
Mega Signal,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,121,Uncommon,I,"Search your deck for a Mega Evolution Pokémon ex, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Mega Signal,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,171,Ultra Rare,I,"Search your deck for a Mega Evolution Pokémon ex, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Mega Signal,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,193,Common,I,"Search your deck for a Mega Evolution Pokémon ex, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Megaton Blower,Trainer,"Item,ACE SPEC",,,,,,,,0,SSP,Surging Sparks,182,ACE SPEC Rare,H,"Discard all Pokémon Tools and Special Energy from all of your opponent's Pokémon, and discard a Stadium in play. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Mela,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,167,Uncommon,G,"You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.    Attach a Basic Fire Energy card from your discard pile to 1 of your Pokémon. If you do, draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn."
Mela,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,236,Ultra Rare,G,"You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.    Attach a Basic Fire Energy card from your discard pile to 1 of your Pokémon. If you do, draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn."
Mela,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,254,Special Illustration Rare,G,"You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.    Attach a Basic Fire Energy card from your discard pile to 1 of your Pokémon. If you do, draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn."
Mela,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,140,Ultra Rare,G,"You can use this card only if any of your Pokémon were Knocked Out during your opponent's last turn.  Attach a Basic Fire Energy card from your discard pile to 1 of your Pokémon. If you do, draw cards until you have 6 cards in your hand. | You may play only 1 Supporter card during your turn."
Mesagoza,Trainer,Stadium,,,,,,,,0,SVI,Scarlet & Violet,178,Uncommon,G,"Once during each player's turn, that player may flip a coin. If heads, that player searches their deck for a Pokémon, reveals it, and puts it into their hand. Then, that player shuffles their deck. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Miracle Headset,Trainer,"Item,ACE SPEC",,,,,,,,0,SSP,Surging Sparks,183,ACE SPEC Rare,H,Put up to 2 Supporter cards from your discard pile into your hand. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck.
Miriam,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,179,Uncommon,G,"Shuffle up to 5 Pokémon from your discard pile into your deck. If you shuffled any cards into your deck in this way, draw 3 cards. | You may play only 1 Supporter card during your turn."
Miriam,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,238,Ultra Rare,G,"Shuffle up to 5 Pokémon from your discard pile into your deck. If you shuffled any cards into your deck in this way, draw 3 cards. | You may play only 1 Supporter card during your turn."
Miriam,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,251,Special Illustration Rare,G,"Shuffle up to 5 Pokémon from your discard pile into your deck. If you shuffled any cards into your deck in this way, draw 3 cards. | You may play only 1 Supporter card during your turn."
Moonlit Hill,Trainer,Stadium,,,,,,,,0,PAF,Paldean Fates,81,Uncommon,G,"Once during each player's turn, that player may discard a Basic Psychic Energy card from their hand in order to heal 30 damage from each of their Pokémon. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Morty's Conviction,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,155,Uncommon,H,You can use this card only if you discard another card from your hand.  Draw a card for each of your opponent's Benched Pokémon. | You may play only 1 Supporter card during your turn.
Morty's Conviction,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,201,Ultra Rare,H,You can use this card only if you discard another card from your hand.  Draw a card for each of your opponent's Benched Pokémon. | You may play only 1 Supporter card during your turn.
Morty's Conviction,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,211,Special Illustration Rare,H,You can use this card only if you discard another card from your hand.  Draw a card for each of your opponent's Benched Pokémon. | You may play only 1 Supporter card during your turn.
Mystery Garden,Trainer,Stadium,,,,,,,,0,MEG,Mega Evolution,122,Uncommon,I,"Once during each player's turn, that player may discard an Energy card from their hand in order to draw cards until they have as many cards in their hand as they have Psychic Pokémon in play. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Mystery Garden,Trainer,Stadium,,,,,,,,0,MEG,Mega Evolution,172,Ultra Rare,I,"Once during each player's turn, that player may discard an Energy card from their hand in order to draw cards until they have as many cards in their hand as they have Psychic Pokémon in play. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Mystery Garden,Trainer,Stadium,,,,,,,,0,ASC,Ascended Heroes,194,Uncommon,I,"Once during each player's turn, that player may discard an Energy card from their hand in order to draw cards until they have as many cards in their hand as they have Psychic Pokémon in play. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can’t be played."
