name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
N's Castle,Trainer,Stadium,,,,,,,,0,JTG,Journey Together,152,Uncommon,I,"N's Pokémon in play (both yours and your opponent's) have no Retreat Cost. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
N's Plan,Trainer,Supporter,,,,,,,,0,BLK,Black Bolt,83,Uncommon,I,Move up to 2 Energy from your Benched Pokémon to your Active Pokémon. | You may play only 1 Supporter card during your turn.
N's Plan,Trainer,Supporter,,,,,,,,0,BLK,Black Bolt,163,Ultra Rare,I,Move up to 2 Energy from your Benched Pokémon to your Active Pokémon. | You may play only 1 Supporter card during your turn.
N's Plan,Trainer,Supporter,,,,,,,,0,BLK,Black Bolt,170,Special Illustration Rare,I,Move up to 2 Energy from your Benched Pokémon to your Active Pokémon. | You may play only 1 Supporter card during your turn.
N's PP Up,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,195,Uncommon,I,Attach a Basic Energy card from your discard pile to 1 of your Benched N's Pokémon. | You may play any number of Item cards during your turn.
N's PP Up,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,262,Ultra Rare,I,Attach a Basic Energy card from your discard pile to 1 of your Benched N's Pokémon. | You may play any number of Item cards during your turn.
N's PP Up,Trainer,Item,,,,,,,,0,JTG,Journey Together,153,Uncommon,I,Attach a Basic Energy card from your discard pile to 1 of your Benched N's Pokémon. | You may play any number of Item cards during your turn.
Nemona,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,180,Common,G,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Nemona,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,82,Common,G,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Nemona,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,229,Ultra Rare,G,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Nemona,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,238,Special Illustration Rare,G,Draw 3 cards. | You may play only 1 Supporter card during your turn.
Nemona's Backpack,Trainer,Item,,,,,,,,0,PAF,Paldean Fates,83,Uncommon,G,Put up to 2 Nemona cards from your discard pile into your hand. | You may play any number of Item cards during your turn.
Nest Ball,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,181,Uncommon,G,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Nest Ball,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,255,Hyper Rare,G,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Nest Ball,Trainer,Item,,,,,,,,0,PAF,Paldean Fates,84,Uncommon,G,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. | You may play any number of Item cards during your turn."
Neutralization Zone,Trainer,"Stadium,ACE SPEC",,,,,,,,0,SFA,Shrouded Fable,60,ACE SPEC Rare,H,"You can't have more than 1 ACE SPEC card in your deck. | Prevent all damage done to Pokémon that don't have a Rule Box (both yours and your opponent's) by attacks from the opponent's Pokémon ex and Pokémon V. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)    This card can't be put into your hand or deck from the discard pile. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Night Stretcher,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,173,Ultra Rare,H,Put a Pokémon or a Basic Energy card from your discard pile into your hand. | You may play any number of Item cards during your turn.
Night Stretcher,Trainer,Item,,,,,,,,0,ASC,Ascended Heroes,196,Common,H,Put a Pokémon or a Basic Energy card from your discard pile into your hand. | You may play any number of Item cards during your turn.
Night Stretcher,Trainer,Item,,,,,,,,0,SFA,Shrouded Fable,61,Uncommon,H,Put a Pokémon or a Basic Energy card from your discard pile into your hand. | You may play any number of Item cards during your turn.
Night Stretcher,Trainer,Item,,,,,,,,0,SSP,Surging Sparks,251,Hyper Rare,H,Put a Pokémon or a Basic Energy card from your discard pile into your hand. | You may play any number of Item cards during your turn.
Nighttime Mine,Trainer,Stadium,,,,,,,,0,ASC,Ascended Heroes,197,Uncommon,I,"Attacks used by each Tera Pokémon in play (both yours and your opponent's) cost Colorless more. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can’t be played."
Norman,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,168,Uncommon,G,"Draw 2 cards. If your opponent's Active Pokémon is a Pokémon ex, draw 2 more cards. | You may play only 1 Supporter card during your turn."
Norman,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,237,Ultra Rare,G,"Draw 2 cards. If your opponent's Active Pokémon is a Pokémon ex, draw 2 more cards. | You may play only 1 Supporter card during your turn."
