name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Pal Pad,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,182,Common,G,Shuffle up to 2 Supporter cards from your discard pile into your deck. | You may play any number of Item cards during your turn.
Paldean Student,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,85,Common,G,"Search your deck for a Pokémon that doesn't have a Rule Box, reveal it, and put it into your hand. For each Paldean Student card (not including this card) in your discard pile, you may search for an additional Pokémon in this way. Then, shuffle your deck. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Paldean Student,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,86,Common,G,"Search your deck for a Pokémon that doesn't have a Rule Box, reveal it, and put it into your hand. For each Paldean Student card (not including this card) in your discard pile, you may search for an additional Pokémon in this way. Then, shuffle your deck. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Paldean Student,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,230,Ultra Rare,G,"Search your deck for a Pokémon that doesn't have a Rule Box, reveal it, and put it into your hand. For each Paldean Student card (not including this card) in your discard pile, you may search for an additional Pokémon in this way. Then, shuffle your deck. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Paldean Student,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,231,Ultra Rare,G,"Search your deck for a Pokémon that doesn't have a Rule Box, reveal it, and put it into your hand. For each Paldean Student card (not including this card) in your discard pile, you may search for an additional Pokémon in this way. Then, shuffle your deck. (Pokémon ex, Pokémon V, etc. have Rule Boxes.) | You may play only 1 Supporter card during your turn."
Paradise Resort,Trainer,Stadium,,,,,,,,0,PR-SV,Scarlet & Violet Black Star Promos,45,Promo,G,"The Retreat Cost of each Psyduck in play (both yours and your opponent's) is Colorless less. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Paradise Resort,Trainer,Stadium,,,,,,,,0,PR-SV,Scarlet & Violet Black Star Promos,150,Promo,H,"The Retreat Cost of each Psyduck in play (both yours and your opponent's) is Colorless less. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Parasol Lady,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,169,Common,G,"Shuffle your hand into your deck. Then, draw 4 cards. If you go second and it's your first turn, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Parasol Lady,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,238,Ultra Rare,G,"Shuffle your hand into your deck. Then, draw 4 cards. If you go second and it's your first turn, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Parasol Lady,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,255,Special Illustration Rare,G,"Shuffle your hand into your deck. Then, draw 4 cards. If you go second and it's your first turn, draw 8 cards instead. | You may play only 1 Supporter card during your turn."
Passho Berry,Trainer,Pokémon Tool,,,,,,,,0,SSP,Surging Sparks,184,Uncommon,H,"If the Pokémon this card is attached to is damaged by an attack from your opponent's Water Pokémon, it takes 60 less damage (after applying Weakness and Resistance), and discard this card. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Patrol Cap,Trainer,Pokémon Tool,,,,,,,,0,OBF,Obsidian Flames,191,Uncommon,G,"As long as the Pokémon this card is attached to is in the Active Spot, cards in your deck can't be discarded by effects of your opponent's attacks, Abilities, Item cards, Pokémon Tool cards, or Supporter cards. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Payapa Berry,Trainer,Pokémon Tool,,,,,,,,0,SCR,Stellar Crown,141,Uncommon,H,"If the Pokémon this card is attached to is damaged by an attack from your opponent's Psychic Pokémon, it takes 60 less damage (after applying Weakness and Resistance), and discard this card. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Penny,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,183,Uncommon,G,Put 1 of your Basic Pokémon and all attached cards into your hand. | You may play only 1 Supporter card during your turn.
Penny,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,239,Ultra Rare,G,Put 1 of your Basic Pokémon and all attached cards into your hand. | You may play only 1 Supporter card during your turn.
Penny,Trainer,Supporter,,,,,,,,0,SVI,Scarlet & Violet,252,Special Illustration Rare,G,Put 1 of your Basic Pokémon and all attached cards into your hand. | You may play only 1 Supporter card during your turn.
Penny,Trainer,Supporter,,,,,,,,0,PAF,Paldean Fates,239,Special Illustration Rare,G,Put 1 of your Basic Pokémon and all attached cards into your hand. | You may play only 1 Supporter card during your turn.
Perilous Jungle,Trainer,Stadium,,,,,,,,0,TEF,Temporal Forces,156,Uncommon,H,"During Pokémon Checkup, put 2 more damage counters on each Poisoned non-Darkness Pokémon (both yours and your opponent's). | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played. | You may play only 1 Stadium card during your turn. Put it into the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Perrin,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,160,Uncommon,H,"Reveal up to 2 Pokémon in your hand and put them into your deck. If you do, search your deck for up to that many Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Perrin,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,209,Ultra Rare,H,"Reveal up to 2 Pokémon in your hand and put them into your deck. If you do, search your deck for up to that many Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Perrin,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,220,Special Illustration Rare,H,"Reveal up to 2 Pokémon in your hand and put them into your deck. If you do, search your deck for up to that many Pokémon, reveal them, and put them into your hand. Then, shuffle your deck. | You may play only 1 Supporter card during your turn."
Picnic Basket,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,184,Uncommon,G,Heal 30 damage from each Pokémon (both yours and your opponent's). | You may play any number of Item cards during your turn.
Picnicker,Trainer,Supporter,,,,,,,,0,PR-SV,Scarlet & Violet Black Star Promos,114,Promo,H,"Flip a coin. If heads, draw 4 cards. If tails, draw 2 cards. | You may play only 1 Supporter card during your turn."
Poké Ball,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,185,Common,G,"Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn."
