name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Raifort,Trainer,Supporter,,,,,,,,0,TWM,Twilight Masquerade,161,Uncommon,H,Look at the top 5 cards of your deck and discard any number of them. Put the other cards back in any order. | You may play only 1 Supporter card during your turn.
Raifort,Trainer,Supporter,,,,,,,,0,PRE,Prismatic Evolutions,142,Ultra Rare,G,Look at the top 5 cards of your deck and discard any number of them. Put the other cards back in any order. | You may play only 1 Supporter card during your turn.
Rare Candy,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,125,Common,I,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn. | You may play any number of Item cards during your turn."
Rare Candy,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,175,Ultra Rare,I,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn. | You may play any number of Item cards during your turn."
Rare Candy,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,191,Common,G,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn. | You may play any number of Item cards during your turn."
Rare Candy,Trainer,Item,,,,,,,,0,SVI,Scarlet & Violet,256,Hyper Rare,G,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn. | You may play any number of Item cards during your turn."
Rare Candy,Trainer,Item,,,,,,,,0,PAF,Paldean Fates,89,Common,G,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can't use this card during your first turn or on a Basic Pokémon that was put into play this turn. | You may play any number of Item cards during your turn."
Reboot Pod,Trainer,"Item,Future,ACE SPEC",,,,,,,,0,TEF,Temporal Forces,158,ACE SPEC Rare,H,Attach a Basic Energy card from your discard pile to each of your Future Pokémon. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck.
Redeemable Ticket,Trainer,Item,,,,,,,,0,JTG,Journey Together,156,Uncommon,I,"Count your Prize cards, shuffle them, and put them on the bottom of your deck. Then, take that many cards from the top of your deck and put them face down as your Prize cards. | You may play any number of Item cards during your turn."
Repel,Trainer,Item,,,,,,,,0,MEG,Mega Evolution,126,Uncommon,I,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) | You may play any number of Item cards during your turn.
Rescue Board,Trainer,Pokémon Tool,,,,,,,,0,TEF,Temporal Forces,159,Uncommon,H,"The Retreat Cost of the Pokémon this card is attached to is Colorless less. If that Pokémon's remaining HP is 30 or less, it has no Retreat Cost. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Rescue Board,Trainer,Pokémon Tool,,,,,,,,0,TWM,Twilight Masquerade,225,Hyper Rare,H,"The Retreat Cost of the Pokémon this card is attached to is Colorless less. If that Pokémon's remaining HP is 30 or less, it has no Retreat Cost. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached. | Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached."
Rescue Board,Trainer,Pokémon Tool,,,,,,,,0,PRE,Prismatic Evolutions,126,Uncommon,H,"The Retreat Cost of the Pokémon this card is attached to is Colorless less. If that Pokémon's remaining HP is 30 or less, it has no Retreat Cost. | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Rigid Band,Trainer,Pokémon Tool,,,,,,,,0,MEW,151,165,Uncommon,G,"The Stage 1 Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Rika,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,172,Uncommon,G,Look at the top 4 cards of your deck and put 2 of them into your hand. Shuffle the other cards and put them on the bottom of your deck. | You may play only 1 Supporter card during your turn.
