name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Sacred Ash,Trainer,Item,,,,,,,,0,DRI,Destined Rivals,168,Uncommon,I,Shuffle up to 5 Pokémon from your discard pile into your deck. | You may play any number of Item cards during your turn.
Sacred Charm,Trainer,Pokémon Tool,,,,,,,,0,PFL,Phantasmal Flames,93,Uncommon,I,"The Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon that have an Ability (after applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Sacred Charm,Trainer,Pokémon Tool,,,,,,,,0,PFL,Phantasmal Flames,122,Ultra Rare,I,"The Pokémon this card is attached to takes 30 less damage from attacks from your opponent's Pokémon that have an Ability (after applying Weakness and Resistance). | You may attach any number of Pokémon Tools to your Pokémon during your turn. You may attach only 1 Pokémon Tool to each Pokémon, and it stays attached."
Saguaro,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,187,Uncommon,G,Choose up to 2 of your Pokémon and heal 50 damage from each of them. | You may play only 1 Supporter card during your turn.
Saguaro,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,255,Ultra Rare,G,Choose up to 2 of your Pokémon and heal 50 damage from each of them. | You may play only 1 Supporter card during your turn.
Saguaro,Trainer,Supporter,,,,,,,,0,PAL,Paldea Evolved,270,Special Illustration Rare,G,Choose up to 2 of your Pokémon and heal 50 damage from each of them. | You may play only 1 Supporter card during your turn.
Salvatore,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,160,Uncommon,H,"Search your deck for a card that has no Abilities and evolves from 1 of your Pokémon, and put it onto that Pokémon to evolve it. Then, shuffle your deck. You can use this card on a Pokémon you put down when you were setting up to play or on a Pokémon that was put into play this turn. | You may play only 1 Supporter card during your turn."
Salvatore,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,202,Ultra Rare,H,"Search your deck for a card that has no Abilities and evolves from 1 of your Pokémon, and put it onto that Pokémon to evolve it. Then, shuffle your deck. You can use this card on a Pokémon you put down when you were setting up to play or on a Pokémon that was put into play this turn. | You may play only 1 Supporter card during your turn."
Salvatore,Trainer,Supporter,,,,,,,,0,TEF,Temporal Forces,212,Special Illustration Rare,H,"Search your deck for a card that has no Abilities and evolves from 1 of your Pokémon, and put it onto that Pokémon to evolve it. Then, shuffle your deck. You can use this card on a Pokémon you put down when you were setting up to play or on a Pokémon that was put into play this turn. | You may play only 1 Supporter card during your turn."
Scoop Up Cyclone,Trainer,"Item,ACE SPEC",,,,,,,,0,TWM,Twilight Masquerade,162,ACE SPEC Rare,H,You can't have more than 1 ACE SPEC card in your deck. | Put 1 of your Pokémon and all attached cards into your hand. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck.
Scoop Up Cyclone,Trainer,"Item,ACE SPEC",,,,,,,,0,PRE,Prismatic Evolutions,128,ACE SPEC Rare,H,You can't have more than 1 ACE SPEC card in your deck. | Put 1 of your Pokémon and all attached cards into your hand. | You may play any number of Item cards during your turn.
Scramble Switch,Trainer,"Item,ACE SPEC",,,,,,,,0,SSP,Surging Sparks,186,ACE SPEC Rare,H,"Switch your Active Pokémon with 1 of your Benched Pokémon. If you do, you may move any amount of Energy from the Pokémon you moved to your Bench to the new Active Pokémon. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Secret Box,Trainer,"Item,ACE SPEC",,,,,,,,0,TWM,Twilight Masquerade,163,ACE SPEC Rare,H,"You can't have more than 1 ACE SPEC card in your deck. | You can use this card only if you discard 3 other cards from your hand.    Search your deck for an Item card, a Pokémon Tool card, a Supporter card, and a Stadium card, reveal them, and put them into your hand. Then, shuffle your deck. | You may play any number of Item cards during your turn. | ACE SPEC: You can't have more than 1 ACE SPEC card in your deck."
Shauntal,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,174,Uncommon,G,"Flip a coin. If heads, switch in 1 of your opponent's Benched Pokémon to the Active Spot. If tails, switch your Active Pokémon with 1 of your Benched Pokémon. | You may play only 1 Supporter card during your turn."
Shauntal,Trainer,Supporter,,,,,,,,0,PAR,Paradox Rift,243,Ultra Rare,G,"Flip a coin. If heads, switch in 1 of your opponent's Benched Pokémon to the Active Spot. If tails, switch your Active Pokémon with 1 of your Benched Pokémon. | You may play only 1 Supporter card during your turn."
Snorlax Doll,Trainer,Item,120,,,,,,,0,PAR,Paradox Rift,175,Uncommon,G,"If this card is in your hand when you are setting up to play, you may put it face down in the Active Spot or on your Bench as if it were a 120-HP Basic Colorless Pokémon. (You can do this only when you are setting up to play.) At any time during your turn, you may discard this card from play.     This card can't be affected by any Special Conditions and can't retreat. If this card is Knocked Out, your opponent can't take any Prize cards for it. | You may play any number of Item cards during your turn."
