name,supertype,subtypes,hp,types,evolves_from,abilities,attacks,weaknesses,resistances,retreat_cost,set_code,set_name,number,rarity,regulation_mark,rules
Team Rocket's Archer,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,201,Uncommon,I,"You can use this card only if any of your Team Rocket's Pokémon were Knocked Out during your opponent's last turn.  Each player shuffles their hand into their deck. Then, you draw 5 cards, and your opponent draws 3 cards. | You may play only 1 Supporter card during your turn."
Team Rocket's Archer,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,170,Uncommon,I,"You can use this card only if any of your Team Rocket's Pokémon were Knocked Out during your opponent's last turn.  Each player shuffles their hand into their deck. Then, you draw 5 cards, and your opponent draws 3 cards. | You may play only 1 Supporter card during your turn."
Team Rocket's Archer,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,223,Ultra Rare,I,"You can use this card only if any of your Team Rocket's Pokémon were Knocked Out during your opponent's last turn.  Each player shuffles their hand into their deck. Then, you draw 5 cards, and your opponent draws 3 cards. | You may play only 1 Supporter card during your turn."
Team Rocket's Ariana,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,202,Uncommon,I,"Draw cards until you have 5 cards in your hand. If all of your Pokémon in play are Team Rocket's Pokémon, draw cards until you have 8 cards in your hand instead. | You may play only 1 Supporter card during your turn."
Team Rocket's Ariana,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,171,Uncommon,I,"Draw cards until you have 5 cards in your hand. If all of your Pokémon in play are Team Rocket's Pokémon, draw cards until you have 8 cards in your hand instead. | You may play only 1 Supporter card during your turn."
Team Rocket's Ariana,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,224,Ultra Rare,I,"Draw cards until you have 5 cards in your hand. If all of your Pokémon in play are Team Rocket's Pokémon, draw cards until you have 8 cards in your hand instead. | You may play only 1 Supporter card during your turn."
Team Rocket's Ariana,Trainer,Supporter,,,,,,,,0,DRI,Destined Rivals,237,Special Illustration Rare,I,"Draw cards until you have 5 cards in your hand. If all of your Pokémon in play are Team Rocket's Pokémon, draw cards until you have 8 cards in your hand instead. | You may play only 1 Supporter card during your turn."
Team Rocket's Bother-Bot,Trainer,Item,,,,,,,,0,DRI,Destined Rivals,172,Uncommon,I,Turn 1 of your opponent's face-down Prize cards face up and choose a random card from your opponent's hand. Your opponent reveals that card. You may have your opponent switch those cards. (That Prize card remains face up for the rest of the game.) | You may play any number of Item cards during your turn.
Team Rocket's Factory,Trainer,Stadium,,,,,,,,0,ASC,Ascended Heroes,203,Uncommon,I,"Once during each player's turn, if they played a Supporter card that has ""Team Rocket"" in its name from their hand this turn, they may draw 2 cards. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can’t be played."
Team Rocket's Factory,Trainer,Stadium,,,,,,,,0,DRI,Destined Rivals,173,Uncommon,I,"Once during each player's turn, if they played a Supporter card that has ""Team Rocket"" in its name from their hand this turn, they may draw 2 cards. | You may play only 1 Stadium card during your turn. Put it next to the Active Spot, and discard it if another Stadium comes into play. A Stadium with the same name can't be played."
Team Rocket's Giovanni,Trainer,Supporter,,,,,,,,0,ASC,Ascended Heroes,204,Uncommon,I,"Switch your Active Team Rocket's Pokémon with 1 of your Benched Team Rocket's Pokémon. If you do, switch in 1 of your opponent's Benched Pokémon to the Active Spot. | You may play only 1 Supporter card during your turn."
